model_name;classifier;f1;accuracy;recall;precision;classification;confusion;time_processing
WordPhonemeFreq@0101@All;SVM;67.92;67.8;67.8;68.5;"              precision    recall  f1-score   support

          -1       0.51      0.63      0.57        95
           0       0.51      0.52      0.51        95
           1       0.78      0.59      0.67        95

    accuracy                           0.58       285
   macro avg       0.60      0.58      0.58       285
weighted avg       0.60      0.58      0.58       285
";"[[60 39 18]
 [26 49 21]
 [ 9  7 56]]";0 hour:5 min:20 sec
WordPhonemeFreq@0101@All;RandomForest;88.23;88.08;88.13;89.05;"              precision    recall  f1-score   support

          -1       0.41      0.92      0.56        95
           0       0.38      0.05      0.09        95
           1       0.72      0.44      0.55        95

    accuracy                           0.47       285
   macro avg       0.51      0.47      0.40       285
weighted avg       0.51      0.47      0.40       285
";"[[87 80 47]
 [ 2  5  6]
 [ 6 10 42]]";0 hour:3 min:30 sec
WordPhonemeFreq@0101@All;LogisticRegression;69.81;69.86;69.86;70.08;"              precision    recall  f1-score   support

          -1       0.54      0.66      0.59        95
           0       0.53      0.52      0.52        95
           1       0.79      0.62      0.69        95

    accuracy                           0.60       285
   macro avg       0.62      0.60      0.60       285
weighted avg       0.62      0.60      0.60       285
";"[[63 38 16]
 [24 49 20]
 [ 8  8 59]]";0 hour:2 min:52 sec
WordPhonemeFreq@0110@All;SVM;67.92;67.8;67.8;68.5;"              precision    recall  f1-score   support

          -1       0.51      0.63      0.57        95
           0       0.51      0.52      0.51        95
           1       0.78      0.59      0.67        95

    accuracy                           0.58       285
   macro avg       0.60      0.58      0.58       285
weighted avg       0.60      0.58      0.58       285
";"[[60 39 18]
 [26 49 21]
 [ 9  7 56]]";0 hour:4 min:58 sec
WordPhonemeFreq@0110@All;RandomForest;87.98;88.28;88.01;89.18;"              precision    recall  f1-score   support

          -1       0.41      0.93      0.57        95
           0       0.53      0.08      0.15        95
           1       0.75      0.45      0.57        95

    accuracy                           0.49       285
   macro avg       0.57      0.49      0.43       285
weighted avg       0.57      0.49      0.43       285
";"[[88 76 49]
 [ 4  8  3]
 [ 3 11 43]]";0 hour:3 min:13 sec
WordPhonemeFreq@0110@All;LogisticRegression;69.81;69.86;69.86;70.08;"              precision    recall  f1-score   support

          -1       0.54      0.66      0.59        95
           0       0.53      0.52      0.52        95
           1       0.79      0.62      0.69        95

    accuracy                           0.60       285
   macro avg       0.62      0.60      0.60       285
weighted avg       0.62      0.60      0.60       285
";"[[63 38 16]
 [24 49 20]
 [ 8  8 59]]";0 hour:3 min:6 sec
WordPhonemeFreq@0111@All;SVM;67.92;67.8;67.8;68.5;"              precision    recall  f1-score   support

          -1       0.51      0.63      0.57        95
           0       0.51      0.52      0.51        95
           1       0.78      0.59      0.67        95

    accuracy                           0.58       285
   macro avg       0.60      0.58      0.58       285
weighted avg       0.60      0.58      0.58       285
";"[[60 39 18]
 [26 49 21]
 [ 9  7 56]]";0 hour:5 min:20 sec
WordPhonemeFreq@0111@All;RandomForest;87.95;87.73;88.18;88.93;"              precision    recall  f1-score   support

          -1       0.41      0.88      0.56        95
           0       0.50      0.11      0.17        95
           1       0.76      0.46      0.58        95

    accuracy                           0.48       285
   macro avg       0.55      0.48      0.44       285
weighted avg       0.55      0.48      0.44       285
";"[[84 77 46]
 [ 5 10  5]
 [ 6  8 44]]";0 hour:3 min:32 sec
WordPhonemeFreq@0111@All;LogisticRegression;69.81;69.86;69.86;70.08;"              precision    recall  f1-score   support

          -1       0.54      0.66      0.59        95
           0       0.53      0.52      0.52        95
           1       0.79      0.62      0.69        95

    accuracy                           0.60       285
   macro avg       0.62      0.60      0.60       285
weighted avg       0.62      0.60      0.60       285
";"[[63 38 16]
 [24 49 20]
 [ 8  8 59]]";0 hour:3 min:5 sec
WordPhonemeFreq@1000@All;SVM;68.39;68.31;68.31;68.97;"              precision    recall  f1-score   support

          -1       0.54      0.64      0.58        95
           0       0.53      0.55      0.54        95
           1       0.77      0.59      0.67        95

    accuracy                           0.59       285
   macro avg       0.61      0.59      0.60       285
weighted avg       0.61      0.59      0.60       285
";"[[61 35 18]
 [25 52 21]
 [ 9  8 56]]";0 hour:5 min:29 sec
WordPhonemeFreq@1000@All;RandomForest;87.88;87.85;87.84;88.15;"              precision    recall  f1-score   support

          -1       0.44      0.93      0.60        95
           0       0.60      0.16      0.25        95
           1       0.79      0.51      0.62        95

    accuracy                           0.53       285
   macro avg       0.61      0.53      0.49       285
weighted avg       0.61      0.53      0.49       285
";"[[88 71 40]
 [ 3 15  7]
 [ 4  9 48]]";0 hour:3 min:32 sec
WordPhonemeFreq@1000@All;LogisticRegression;69.89;69.95;69.95;70.16;"              precision    recall  f1-score   support

          -1       0.55      0.66      0.60        95
           0       0.55      0.55      0.55        95
           1       0.79      0.64      0.71        95

    accuracy                           0.62       285
   macro avg       0.63      0.62      0.62       285
weighted avg       0.63      0.62      0.62       285
";"[[63 35 16]
 [24 52 18]
 [ 8  8 61]]";0 hour:3 min:25 sec
WordPhonemeFreq@1001@All;SVM;67.92;67.8;67.8;68.5;"              precision    recall  f1-score   support

          -1       0.51      0.63      0.57        95
           0       0.51      0.52      0.51        95
           1       0.78      0.59      0.67        95

    accuracy                           0.58       285
   macro avg       0.60      0.58      0.58       285
weighted avg       0.60      0.58      0.58       285
";"[[60 39 18]
 [26 49 21]
 [ 9  7 56]]";0 hour:5 min:16 sec
WordPhonemeFreq@1001@All;RandomForest;88.26;88.28;88.4;89.19;"              precision    recall  f1-score   support

          -1       0.42      0.89      0.58        95
           0       0.62      0.14      0.22        95
           1       0.77      0.52      0.62        95

    accuracy                           0.52       285
   macro avg       0.60      0.52      0.47       285
weighted avg       0.60      0.52      0.47       285
";"[[85 72 43]
 [ 5 13  3]
 [ 5 10 49]]";0 hour:3 min:27 sec
WordPhonemeFreq@1001@All;LogisticRegression;69.81;69.86;69.86;70.08;"              precision    recall  f1-score   support

          -1       0.54      0.66      0.59        95
           0       0.53      0.52      0.52        95
           1       0.79      0.62      0.69        95

    accuracy                           0.60       285
   macro avg       0.62      0.60      0.60       285
weighted avg       0.62      0.60      0.60       285
";"[[63 38 16]
 [24 49 20]
 [ 8  8 59]]";0 hour:3 min:1 sec
WordPhonemeFreq@1010@All;SVM;67.92;67.8;67.8;68.5;"              precision    recall  f1-score   support

          -1       0.51      0.63      0.57        95
           0       0.51      0.52      0.51        95
           1       0.78      0.59      0.67        95

    accuracy                           0.58       285
   macro avg       0.60      0.58      0.58       285
weighted avg       0.60      0.58      0.58       285
";"[[60 39 18]
 [26 49 21]
 [ 9  7 56]]";0 hour:5 min:18 sec
WordPhonemeFreq@1010@All;RandomForest;88.01;88.49;88.04;89.09;"              precision    recall  f1-score   support

          -1       0.43      0.93      0.59        95
           0       0.56      0.09      0.16        95
           1       0.75      0.51      0.60        95

    accuracy                           0.51       285
   macro avg       0.58      0.51      0.45       285
weighted avg       0.58      0.51      0.45       285
";"[[88 75 42]
 [ 2  9  5]
 [ 5 11 48]]";0 hour:3 min:33 sec
WordPhonemeFreq@1010@All;LogisticRegression;69.81;69.86;69.86;70.08;"              precision    recall  f1-score   support

          -1       0.54      0.66      0.59        95
           0       0.53      0.52      0.52        95
           1       0.79      0.62      0.69        95

    accuracy                           0.60       285
   macro avg       0.62      0.60      0.60       285
weighted avg       0.62      0.60      0.60       285
";"[[63 38 16]
 [24 49 20]
 [ 8  8 59]]";0 hour:3 min:15 sec
WordPhonemeFreq@1011@All;SVM;67.92;67.8;67.8;68.5;"              precision    recall  f1-score   support

          -1       0.51      0.63      0.57        95
           0       0.51      0.52      0.51        95
           1       0.78      0.59      0.67        95

    accuracy                           0.58       285
   macro avg       0.60      0.58      0.58       285
weighted avg       0.60      0.58      0.58       285
";"[[60 39 18]
 [26 49 21]
 [ 9  7 56]]";0 hour:5 min:4 sec
WordPhonemeFreq@1011@All;RandomForest;88.14;88.1;88.12;89.16;"              precision    recall  f1-score   support

          -1       0.41      0.88      0.56        95
           0       0.52      0.12      0.19        95
           1       0.75      0.46      0.57        95

    accuracy                           0.49       285
   macro avg       0.56      0.49      0.44       285
weighted avg       0.56      0.49      0.44       285
";"[[84 76 45]
 [ 4 11  6]
 [ 7  8 44]]";0 hour:3 min:9 sec
WordPhonemeFreq@1011@All;LogisticRegression;69.81;69.86;69.86;70.08;"              precision    recall  f1-score   support

          -1       0.54      0.66      0.59        95
           0       0.53      0.52      0.52        95
           1       0.79      0.62      0.69        95

    accuracy                           0.60       285
   macro avg       0.62      0.60      0.60       285
weighted avg       0.62      0.60      0.60       285
";"[[63 38 16]
 [24 49 20]
 [ 8  8 59]]";0 hour:3 min:3 sec
WordPhonemeFreq@1100@All;SVM;67.92;67.8;67.8;68.5;"              precision    recall  f1-score   support

          -1       0.51      0.63      0.57        95
           0       0.51      0.52      0.51        95
           1       0.78      0.59      0.67        95

    accuracy                           0.58       285
   macro avg       0.60      0.58      0.58       285
weighted avg       0.60      0.58      0.58       285
";"[[60 39 18]
 [26 49 21]
 [ 9  7 56]]";0 hour:5 min:10 sec
WordPhonemeFreq@1100@All;RandomForest;88.17;88.35;88.22;88.98;"              precision    recall  f1-score   support

          -1       0.43      0.93      0.59        95
           0       0.69      0.12      0.20        95
           1       0.79      0.55      0.65        95

    accuracy                           0.53       285
   macro avg       0.64      0.53      0.48       285
weighted avg       0.64      0.53      0.48       285
";"[[88 77 38]
 [ 0 11  5]
 [ 7  7 52]]";0 hour:3 min:14 sec
WordPhonemeFreq@1100@All;LogisticRegression;69.81;69.86;69.86;70.08;"              precision    recall  f1-score   support

          -1       0.54      0.66      0.59        95
           0       0.53      0.52      0.52        95
           1       0.79      0.62      0.69        95

    accuracy                           0.60       285
   macro avg       0.62      0.60      0.60       285
weighted avg       0.62      0.60      0.60       285
";"[[63 38 16]
 [24 49 20]
 [ 8  8 59]]";0 hour:3 min:8 sec
WordPhonemeFreq@1101@All;SVM;67.92;67.8;67.8;68.5;"              precision    recall  f1-score   support

          -1       0.51      0.63      0.57        95
           0       0.51      0.52      0.51        95
           1       0.78      0.59      0.67        95

    accuracy                           0.58       285
   macro avg       0.60      0.58      0.58       285
weighted avg       0.60      0.58      0.58       285
";"[[60 39 18]
 [26 49 21]
 [ 9  7 56]]";0 hour:4 min:50 sec
WordPhonemeFreq@1101@All;RandomForest;88.03;87.97;88.25;89.09;"              precision    recall  f1-score   support

          -1       0.42      0.89      0.57        95
           0       0.78      0.19      0.31        95
           1       0.79      0.48      0.60        95

    accuracy                           0.52       285
   macro avg       0.66      0.52      0.49       285
weighted avg       0.66      0.52      0.49       285
";"[[85 72 47]
 [ 3 18  2]
 [ 7  5 46]]";0 hour:3 min:5 sec
WordPhonemeFreq@1101@All;LogisticRegression;69.81;69.86;69.86;70.08;"              precision    recall  f1-score   support

          -1       0.54      0.66      0.59        95
           0       0.53      0.52      0.52        95
           1       0.79      0.62      0.69        95

    accuracy                           0.60       285
   macro avg       0.62      0.60      0.60       285
weighted avg       0.62      0.60      0.60       285
";"[[63 38 16]
 [24 49 20]
 [ 8  8 59]]";0 hour:3 min:2 sec
WordPhonemeFreq@1110@All;SVM;67.92;67.8;67.8;68.5;"              precision    recall  f1-score   support

          -1       0.51      0.63      0.57        95
           0       0.51      0.52      0.51        95
           1       0.78      0.59      0.67        95

    accuracy                           0.58       285
   macro avg       0.60      0.58      0.58       285
weighted avg       0.60      0.58      0.58       285
";"[[60 39 18]
 [26 49 21]
 [ 9  7 56]]";0 hour:5 min:3 sec
WordPhonemeFreq@1110@All;RandomForest;88.11;88.07;88.46;88.92;"              precision    recall  f1-score   support

          -1       0.42      0.89      0.57        95
           0       0.41      0.07      0.12        95
           1       0.72      0.49      0.59        95

    accuracy                           0.49       285
   macro avg       0.52      0.49      0.43       285
weighted avg       0.52      0.49      0.43       285
";"[[85 76 42]
 [ 4  7  6]
 [ 6 12 47]]";0 hour:3 min:18 sec
WordPhonemeFreq@1110@All;LogisticRegression;69.81;69.86;69.86;70.08;"              precision    recall  f1-score   support

          -1       0.54      0.66      0.59        95
           0       0.53      0.52      0.52        95
           1       0.79      0.62      0.69        95

    accuracy                           0.60       285
   macro avg       0.62      0.60      0.60       285
weighted avg       0.62      0.60      0.60       285
";"[[63 38 16]
 [24 49 20]
 [ 8  8 59]]";0 hour:3 min:16 sec
WordPhonemeFreq@1111@All;SVM;68.31;68.21;68.21;68.89;"              precision    recall  f1-score   support

          -1       0.53      0.65      0.59        95
           0       0.55      0.55      0.55        95
           1       0.77      0.60      0.67        95

    accuracy                           0.60       285
   macro avg       0.62      0.60      0.60       285
weighted avg       0.62      0.60      0.60       285
";"[[62 35 19]
 [24 52 19]
 [ 9  8 57]]";0 hour:5 min:9 sec
WordPhonemeFreq@1111@All;RandomForest;87.94;88.33;88.29;88.94;"              precision    recall  f1-score   support

          -1       0.41      0.91      0.56        95
           0       0.55      0.12      0.19        95
           1       0.78      0.45      0.57        95

    accuracy                           0.49       285
   macro avg       0.58      0.49      0.44       285
weighted avg       0.58      0.49      0.44       285
";"[[86 79 45]
 [ 2 11  7]
 [ 7  5 43]]";0 hour:3 min:23 sec
WordPhonemeFreq@1111@All;LogisticRegression;70.0;70.09;70.09;70.27;"              precision    recall  f1-score   support

          -1       0.56      0.67      0.61        95
           0       0.53      0.55      0.54        95
           1       0.78      0.59      0.67        95

    accuracy                           0.60       285
   macro avg       0.62      0.60      0.61       285
weighted avg       0.62      0.60      0.61       285
";"[[64 35 16]
 [23 52 23]
 [ 8  8 56]]";0 hour:3 min:23 sec
WordPhoneme@0001@All;SVM;66.77;66.76;66.76;67.08;"              precision    recall  f1-score   support

          -1       0.50      0.59      0.54        95
           0       0.48      0.48      0.48        95
           1       0.76      0.61      0.68        95

    accuracy                           0.56       285
   macro avg       0.58      0.56      0.57       285
weighted avg       0.58      0.56      0.57       285
";"[[56 44 13]
 [26 46 24]
 [13  5 58]]";0 hour:3 min:25 sec
WordPhoneme@0001@All;RandomForest;88.14;87.91;87.63;88.93;"              precision    recall  f1-score   support

          -1       0.39      0.84      0.54        95
           0       0.47      0.09      0.16        95
           1       0.81      0.54      0.65        95

    accuracy                           0.49       285
   macro avg       0.56      0.49      0.45       285
weighted avg       0.56      0.49      0.45       285
";"[[80 82 41]
 [ 7  9  3]
 [ 8  4 51]]";0 hour:3 min:15 sec
WordPhoneme@0001@All;LogisticRegression;67.39;67.49;67.49;67.54;"              precision    recall  f1-score   support

          -1       0.52      0.67      0.59        95
           0       0.52      0.48      0.50        95
           1       0.77      0.60      0.67        95

    accuracy                           0.59       285
   macro avg       0.60      0.59      0.59       285
weighted avg       0.60      0.59      0.59       285
";"[[64 41 17]
 [22 46 21]
 [ 9  8 57]]";0 hour:2 min:44 sec
WordPhoneme@0010@All;SVM;66.85;66.8;66.8;67.22;"              precision    recall  f1-score   support

          -1       0.53      0.61      0.57        95
           0       0.48      0.48      0.48        95
           1       0.72      0.61      0.66        95

    accuracy                           0.57       285
   macro avg       0.58      0.57      0.57       285
weighted avg       0.58      0.57      0.57       285
";"[[58 38 13]
 [25 46 24]
 [12 11 58]]";0 hour:3 min:12 sec
WordPhoneme@0010@All;RandomForest;88.14;87.82;87.95;88.79;"              precision    recall  f1-score   support

          -1       0.41      0.92      0.57        95
           0       0.62      0.08      0.15        95
           1       0.72      0.46      0.56        95

    accuracy                           0.49       285
   macro avg       0.58      0.49      0.43       285
weighted avg       0.58      0.49      0.43       285
";"[[87 77 47]
 [ 1  8  4]
 [ 7 10 44]]";0 hour:3 min:18 sec
WordPhoneme@0010@All;LogisticRegression;68.17;68.26;68.26;68.33;"              precision    recall  f1-score   support

          -1       0.53      0.67      0.59        95
           0       0.51      0.49      0.50        95
           1       0.78      0.59      0.67        95

    accuracy                           0.59       285
   macro avg       0.61      0.59      0.59       285
weighted avg       0.61      0.59      0.59       285
";"[[64 41 16]
 [22 47 23]
 [ 9  7 56]]";0 hour:2 min:47 sec
WordPhoneme@0011@All;SVM;66.54;66.49;66.49;66.92;"              precision    recall  f1-score   support

          -1       0.53      0.62      0.57        95
           0       0.46      0.45      0.46        95
           1       0.72      0.61      0.66        95

    accuracy                           0.56       285
   macro avg       0.57      0.56      0.56       285
weighted avg       0.57      0.56      0.56       285
";"[[59 40 13]
 [26 43 24]
 [10 12 58]]";0 hour:2 min:28 sec
WordPhoneme@0011@All;RandomForest;88.03;88.18;88.17;88.99;"              precision    recall  f1-score   support

          -1       0.40      0.86      0.55        95
           0       0.61      0.12      0.19        95
           1       0.73      0.49      0.59        95

    accuracy                           0.49       285
   macro avg       0.58      0.49      0.45       285
weighted avg       0.58      0.49      0.45       285
";"[[82 75 46]
 [ 5 11  2]
 [ 8  9 47]]";0 hour:2 min:37 sec
WordPhoneme@0011@All;LogisticRegression;68.53;68.58;68.58;68.73;"              precision    recall  f1-score   support

          -1       0.54      0.67      0.60        95
           0       0.52      0.49      0.51        95
           1       0.71      0.58      0.64        95

    accuracy                           0.58       285
   macro avg       0.59      0.58      0.58       285
weighted avg       0.59      0.58      0.58       285
";"[[64 35 19]
 [22 47 21]
 [ 9 13 55]]";0 hour:1 min:52 sec
WordPhoneme@0100@All;SVM;66.76;66.71;66.71;67.2;"              precision    recall  f1-score   support

          -1       0.56      0.65      0.60        95
           0       0.49      0.48      0.49        95
           1       0.71      0.61      0.66        95

    accuracy                           0.58       285
   macro avg       0.59      0.58      0.58       285
weighted avg       0.59      0.58      0.58       285
";"[[62 35 13]
 [23 46 24]
 [10 14 58]]";0 hour:3 min:12 sec
WordPhoneme@0100@All;RandomForest;88.03;88.15;87.64;88.58;"              precision    recall  f1-score   support

          -1       0.41      0.87      0.56        95
           0       0.79      0.16      0.26        95
           1       0.74      0.52      0.61        95

    accuracy                           0.52       285
   macro avg       0.65      0.52      0.48       285
weighted avg       0.65      0.52      0.48       285
";"[[83 71 46]
 [ 4 15  0]
 [ 8  9 49]]";0 hour:3 min:28 sec
WordPhoneme@0100@All;LogisticRegression;68.63;68.72;68.72;68.81;"              precision    recall  f1-score   support

          -1       0.57      0.68      0.62        95
           0       0.49      0.46      0.48        95
           1       0.68      0.57      0.62        95

    accuracy                           0.57       285
   macro avg       0.58      0.57      0.57       285
weighted avg       0.58      0.57      0.57       285
";"[[65 34 16]
 [21 44 25]
 [ 9 17 54]]";0 hour:2 min:48 sec
WordPhoneme@0101@All;SVM;66.54;66.49;66.49;66.92;"              precision    recall  f1-score   support

          -1       0.53      0.62      0.57        95
           0       0.46      0.45      0.46        95
           1       0.72      0.61      0.66        95

    accuracy                           0.56       285
   macro avg       0.57      0.56      0.56       285
weighted avg       0.57      0.56      0.56       285
";"[[59 40 13]
 [26 43 24]
 [10 12 58]]";0 hour:2 min:23 sec
WordPhoneme@0101@All;RandomForest;88.0;87.7;87.78;88.54;"              precision    recall  f1-score   support

          -1       0.41      0.88      0.56        95
           0       0.71      0.18      0.29        95
           1       0.80      0.47      0.60        95

    accuracy                           0.51       285
   macro avg       0.64      0.51      0.48       285
weighted avg       0.64      0.51      0.48       285
";"[[84 75 46]
 [ 3 17  4]
 [ 8  3 45]]";0 hour:2 min:38 sec
WordPhoneme@0101@All;LogisticRegression;68.53;68.58;68.58;68.73;"              precision    recall  f1-score   support

          -1       0.54      0.67      0.60        95
           0       0.52      0.49      0.51        95
           1       0.71      0.58      0.64        95

    accuracy                           0.58       285
   macro avg       0.59      0.58      0.58       285
weighted avg       0.59      0.58      0.58       285
";"[[64 35 19]
 [22 47 21]
 [ 9 13 55]]";0 hour:1 min:53 sec
WordPhoneme@0110@All;SVM;66.54;66.49;66.49;66.92;"              precision    recall  f1-score   support

          -1       0.53      0.62      0.57        95
           0       0.46      0.45      0.46        95
           1       0.72      0.61      0.66        95

    accuracy                           0.56       285
   macro avg       0.57      0.56      0.56       285
weighted avg       0.57      0.56      0.56       285
";"[[59 40 13]
 [26 43 24]
 [10 12 58]]";0 hour:2 min:34 sec
WordPhoneme@0110@All;RandomForest;87.93;87.76;87.84;88.71;"              precision    recall  f1-score   support

          -1       0.40      0.87      0.55        95
           0       0.43      0.06      0.11        95
           1       0.75      0.49      0.59        95

    accuracy                           0.48       285
   macro avg       0.52      0.48      0.42       285
weighted avg       0.52      0.48      0.42       285
";"[[83 80 45]
 [ 5  6  3]
 [ 7  9 47]]";0 hour:2 min:30 sec
WordPhoneme@0110@All;LogisticRegression;68.53;68.58;68.58;68.73;"              precision    recall  f1-score   support

          -1       0.54      0.67      0.60        95
           0       0.52      0.49      0.51        95
           1       0.71      0.58      0.64        95

    accuracy                           0.58       285
   macro avg       0.59      0.58      0.58       285
weighted avg       0.59      0.58      0.58       285
";"[[64 35 19]
 [22 47 21]
 [ 9 13 55]]";0 hour:1 min:59 sec
WordPhoneme@0111@All;SVM;66.54;66.49;66.49;66.92;"              precision    recall  f1-score   support

          -1       0.53      0.62      0.57        95
           0       0.46      0.45      0.46        95
           1       0.72      0.61      0.66        95

    accuracy                           0.56       285
   macro avg       0.57      0.56      0.56       285
weighted avg       0.57      0.56      0.56       285
";"[[59 40 13]
 [26 43 24]
 [10 12 58]]";0 hour:2 min:25 sec
WordPhoneme@0111@All;RandomForest;88.02;87.86;87.63;88.99;"              precision    recall  f1-score   support

          -1       0.42      0.89      0.57        95
           0       0.86      0.20      0.32        95
           1       0.78      0.48      0.60        95

    accuracy                           0.53       285
   macro avg       0.69      0.53      0.50       285
weighted avg       0.69      0.53      0.50       285
";"[[85 72 47]
 [ 1 19  2]
 [ 9  4 46]]";0 hour:2 min:41 sec
WordPhoneme@0111@All;LogisticRegression;68.53;68.58;68.58;68.73;"              precision    recall  f1-score   support

          -1       0.54      0.67      0.60        95
           0       0.52      0.49      0.51        95
           1       0.71      0.58      0.64        95

    accuracy                           0.58       285
   macro avg       0.59      0.58      0.58       285
weighted avg       0.59      0.58      0.58       285
";"[[64 35 19]
 [22 47 21]
 [ 9 13 55]]";0 hour:1 min:57 sec
WordPhoneme@1000@All;SVM;67.07;67.08;67.08;67.43;"              precision    recall  f1-score   support

          -1       0.50      0.62      0.56        95
           0       0.49      0.48      0.49        95
           1       0.77      0.61      0.68        95

    accuracy                           0.57       285
   macro avg       0.59      0.57      0.58       285
weighted avg       0.59      0.57      0.58       285
";"[[59 43 15]
 [25 46 22]
 [11  6 58]]";0 hour:3 min:36 sec
WordPhoneme@1000@All;RandomForest;87.67;87.76;88.0;88.6;"              precision    recall  f1-score   support

          -1       0.39      0.89      0.55        95
           0       0.64      0.07      0.13        95
           1       0.78      0.47      0.59        95

    accuracy                           0.48       285
   macro avg       0.60      0.48      0.42       285
weighted avg       0.60      0.48      0.42       285
";"[[85 82 49]
 [ 3  7  1]
 [ 7  6 45]]";0 hour:3 min:39 sec
