model_name;classifier;f1;accuracy;recall;precision;classification;confusion;time_processing
WordPhonemeFreq@0100@One;RandomForest;87.79;88.09;87.92;88.83;"              precision    recall  f1-score   support

          -1       0.46      0.91      0.61        95
           0       0.56      0.20      0.29        95
           1       0.72      0.49      0.59        95

    accuracy                           0.53       285
   macro avg       0.58      0.53      0.50       285
weighted avg       0.58      0.53      0.50       285
";"[[86 64 36]
 [ 3 19 12]
 [ 6 12 47]]";0 hour:3 min:10 sec
WordPhonemeFreq@0100@One;LogisticRegression;69.57;69.63;69.63;69.83;"              precision    recall  f1-score   support

          -1       0.54      0.66      0.59        95
           0       0.52      0.52      0.52        95
           1       0.78      0.60      0.68        95

    accuracy                           0.59       285
   macro avg       0.61      0.59      0.60       285
weighted avg       0.61      0.59      0.60       285
";"[[63 38 16]
 [24 49 22]
 [ 8  8 57]]";0 hour:2 min:57 sec
WordPhonemeFreq@0101@One;SVM;68.1;67.99;67.99;68.65;"              precision    recall  f1-score   support

          -1       0.51      0.63      0.57        95
           0       0.51      0.52      0.51        95
           1       0.79      0.59      0.67        95

    accuracy                           0.58       285
   macro avg       0.60      0.58      0.58       285
weighted avg       0.60      0.58      0.58       285
";"[[60 39 18]
 [27 49 21]
 [ 8  7 56]]";0 hour:4 min:36 sec
WordPhonemeFreq@0101@One;RandomForest;88.13;88.08;88.07;89.45;"              precision    recall  f1-score   support

          -1       0.39      0.88      0.54        95
           0       0.60      0.09      0.16        95
           1       0.69      0.40      0.51        95

    accuracy                           0.46       285
   macro avg       0.56      0.46      0.40       285
weighted avg       0.56      0.46      0.40       285
";"[[84 78 53]
 [ 2  9  4]
 [ 9  8 38]]";0 hour:3 min:4 sec
WordPhonemeFreq@0101@One;LogisticRegression;69.77;69.82;69.82;70.03;"              precision    recall  f1-score   support

          -1       0.53      0.66      0.59        95
           0       0.52      0.49      0.51        95
           1       0.79      0.62      0.69        95

    accuracy                           0.59       285
   macro avg       0.61      0.59      0.60       285
weighted avg       0.61      0.59      0.60       285
";"[[63 40 16]
 [24 47 20]
 [ 8  8 59]]";0 hour:2 min:53 sec
WordPhonemeFreq@0110@One;SVM;68.1;67.99;67.99;68.65;"              precision    recall  f1-score   support

          -1       0.51      0.63      0.57        95
           0       0.51      0.52      0.51        95
           1       0.79      0.59      0.67        95

    accuracy                           0.58       285
   macro avg       0.60      0.58      0.58       285
weighted avg       0.60      0.58      0.58       285
";"[[60 39 18]
 [27 49 21]
 [ 8  7 56]]";0 hour:4 min:43 sec
WordPhonemeFreq@0110@One;RandomForest;88.06;88.1;88.47;88.75;"              precision    recall  f1-score   support

          -1       0.42      0.94      0.58        95
           0       0.80      0.13      0.22        95
           1       0.79      0.48      0.60        95

    accuracy                           0.52       285
   macro avg       0.67      0.52      0.47       285
weighted avg       0.67      0.52      0.47       285
";"[[89 76 47]
 [ 1 12  2]
 [ 5  7 46]]";0 hour:3 min:1 sec
WordPhonemeFreq@0110@One;LogisticRegression;69.77;69.82;69.82;70.03;"              precision    recall  f1-score   support

          -1       0.53      0.66      0.59        95
           0       0.52      0.49      0.51        95
           1       0.79      0.62      0.69        95

    accuracy                           0.59       285
   macro avg       0.61      0.59      0.60       285
weighted avg       0.61      0.59      0.60       285
";"[[63 40 16]
 [24 47 20]
 [ 8  8 59]]";0 hour:3 min:4 sec
WordPhonemeFreq@0111@One;SVM;68.1;67.99;67.99;68.65;"              precision    recall  f1-score   support

          -1       0.51      0.63      0.57        95
           0       0.51      0.52      0.51        95
           1       0.79      0.59      0.67        95

    accuracy                           0.58       285
   macro avg       0.60      0.58      0.58       285
weighted avg       0.60      0.58      0.58       285
";"[[60 39 18]
 [27 49 21]
 [ 8  7 56]]";0 hour:4 min:42 sec
WordPhonemeFreq@0111@One;RandomForest;88.25;88.45;87.94;88.79;"              precision    recall  f1-score   support

          -1       0.44      0.88      0.59        95
           0       0.70      0.20      0.31        95
           1       0.71      0.49      0.58        95

    accuracy                           0.53       285
   macro avg       0.62      0.53      0.49       285
weighted avg       0.62      0.53      0.49       285
";"[[84 63 45]
 [ 5 19  3]
 [ 6 13 47]]";0 hour:3 min:12 sec
WordPhonemeFreq@0111@One;LogisticRegression;69.77;69.82;69.82;70.03;"              precision    recall  f1-score   support

          -1       0.53      0.66      0.59        95
           0       0.52      0.49      0.51        95
           1       0.79      0.62      0.69        95

    accuracy                           0.59       285
   macro avg       0.61      0.59      0.60       285
weighted avg       0.61      0.59      0.60       285
";"[[63 40 16]
 [24 47 20]
 [ 8  8 59]]";0 hour:3 min:0 sec
WordPhonemeFreq@1000@One;SVM;68.54;68.44;68.44;69.15;"              precision    recall  f1-score   support

          -1       0.53      0.65      0.58        95
           0       0.52      0.52      0.52        95
           1       0.77      0.59      0.67        95

    accuracy                           0.59       285
   macro avg       0.60      0.59      0.59       285
weighted avg       0.60      0.59      0.59       285
";"[[62 38 18]
 [24 49 21]
 [ 9  8 56]]";0 hour:5 min:9 sec
WordPhonemeFreq@1000@One;RandomForest;87.85;87.66;87.98;88.79;"              precision    recall  f1-score   support

          -1       0.48      0.94      0.64        95
           0       0.88      0.22      0.35        95
           1       0.78      0.63      0.70        95

    accuracy                           0.60       285
   macro avg       0.71      0.60      0.56       285
weighted avg       0.71      0.60      0.56       285
";"[[89 61 34]
 [ 2 21  1]
 [ 4 13 60]]";0 hour:3 min:11 sec
WordPhonemeFreq@1000@One;LogisticRegression;70.11;70.18;70.18;70.39;"              precision    recall  f1-score   support

          -1       0.54      0.66      0.59        95
           0       0.53      0.52      0.52        95
           1       0.80      0.64      0.71        95

    accuracy                           0.61       285
   macro avg       0.62      0.61      0.61       285
weighted avg       0.62      0.61      0.61       285
";"[[63 38 16]
 [25 49 18]
 [ 7  8 61]]";0 hour:2 min:56 sec
WordPhonemeFreq@1001@One;SVM;68.1;67.99;67.99;68.65;"              precision    recall  f1-score   support

          -1       0.51      0.63      0.57        95
           0       0.51      0.52      0.51        95
           1       0.79      0.59      0.67        95

    accuracy                           0.58       285
   macro avg       0.60      0.58      0.58       285
weighted avg       0.60      0.58      0.58       285
";"[[60 39 18]
 [27 49 21]
 [ 8  7 56]]";0 hour:4 min:51 sec
WordPhonemeFreq@1001@One;RandomForest;88.19;87.98;87.95;89.09;"              precision    recall  f1-score   support

          -1       0.41      0.89      0.57        95
           0       0.73      0.17      0.27        95
           1       0.81      0.49      0.61        95

    accuracy                           0.52       285
   macro avg       0.65      0.52      0.48       285
weighted avg       0.65      0.52      0.48       285
";"[[85 74 46]
 [ 4 16  2]
 [ 6  5 47]]";0 hour:3 min:5 sec
WordPhonemeFreq@1001@One;LogisticRegression;69.77;69.82;69.82;70.03;"              precision    recall  f1-score   support

          -1       0.53      0.66      0.59        95
           0       0.52      0.49      0.51        95
           1       0.79      0.62      0.69        95

    accuracy                           0.59       285
   macro avg       0.61      0.59      0.60       285
weighted avg       0.61      0.59      0.60       285
";"[[63 40 16]
 [24 47 20]
 [ 8  8 59]]";0 hour:2 min:45 sec
WordPhonemeFreq@1010@One;SVM;68.1;67.99;67.99;68.65;"              precision    recall  f1-score   support

          -1       0.51      0.63      0.57        95
           0       0.51      0.52      0.51        95
           1       0.79      0.59      0.67        95

    accuracy                           0.58       285
   macro avg       0.60      0.58      0.58       285
weighted avg       0.60      0.58      0.58       285
";"[[60 39 18]
 [27 49 21]
 [ 8  7 56]]";0 hour:4 min:50 sec
WordPhonemeFreq@1010@One;RandomForest;88.07;88.3;88.15;89.09;"              precision    recall  f1-score   support

          -1       0.40      0.87      0.54        95
           0       0.63      0.13      0.21        95
           1       0.73      0.43      0.54        95

    accuracy                           0.48       285
   macro avg       0.59      0.48      0.43       285
weighted avg       0.59      0.48      0.43       285
";"[[83 79 48]
 [ 1 12  6]
 [11  4 41]]";0 hour:3 min:2 sec
WordPhonemeFreq@1010@One;LogisticRegression;69.77;69.82;69.82;70.03;"              precision    recall  f1-score   support

          -1       0.53      0.66      0.59        95
           0       0.52      0.49      0.51        95
           1       0.79      0.62      0.69        95

    accuracy                           0.59       285
   macro avg       0.61      0.59      0.60       285
weighted avg       0.61      0.59      0.60       285
";"[[63 40 16]
 [24 47 20]
 [ 8  8 59]]";0 hour:2 min:53 sec
WordPhonemeFreq@1011@One;SVM;68.1;67.99;67.99;68.65;"              precision    recall  f1-score   support

          -1       0.51      0.63      0.57        95
           0       0.51      0.52      0.51        95
           1       0.79      0.59      0.67        95

    accuracy                           0.58       285
   macro avg       0.60      0.58      0.58       285
weighted avg       0.60      0.58      0.58       285
";"[[60 39 18]
 [27 49 21]
 [ 8  7 56]]";0 hour:4 min:41 sec
WordPhonemeFreq@1011@One;RandomForest;87.98;88.14;88.13;89.1;"              precision    recall  f1-score   support

          -1       0.41      0.89      0.57        95
           0       0.56      0.11      0.18        95
           1       0.77      0.51      0.61        95

    accuracy                           0.50       285
   macro avg       0.58      0.50      0.45       285
weighted avg       0.58      0.50      0.45       285
";"[[85 78 42]
 [ 3 10  5]
 [ 7  7 48]]";0 hour:3 min:3 sec
WordPhonemeFreq@1011@One;LogisticRegression;69.77;69.82;69.82;70.03;"              precision    recall  f1-score   support

          -1       0.53      0.66      0.59        95
           0       0.52      0.49      0.51        95
           1       0.79      0.62      0.69        95

    accuracy                           0.59       285
   macro avg       0.61      0.59      0.60       285
weighted avg       0.61      0.59      0.60       285
";"[[63 40 16]
 [24 47 20]
 [ 8  8 59]]";0 hour:2 min:44 sec
WordPhonemeFreq@1100@One;SVM;68.1;67.99;67.99;68.65;"              precision    recall  f1-score   support

          -1       0.51      0.63      0.57        95
           0       0.51      0.52      0.51        95
           1       0.79      0.59      0.67        95

    accuracy                           0.58       285
   macro avg       0.60      0.58      0.58       285
weighted avg       0.60      0.58      0.58       285
";"[[60 39 18]
 [27 49 21]
 [ 8  7 56]]";0 hour:4 min:47 sec
WordPhonemeFreq@1100@One;RandomForest;88.16;88.06;88.3;88.69;"              precision    recall  f1-score   support

          -1       0.41      0.88      0.56        95
           0       0.67      0.15      0.24        95
           1       0.72      0.46      0.56        95

    accuracy                           0.50       285
   macro avg       0.60      0.50      0.46       285
weighted avg       0.60      0.50      0.46       285
";"[[84 72 47]
 [ 3 14  4]
 [ 8  9 44]]";0 hour:3 min:6 sec
WordPhonemeFreq@1100@One;LogisticRegression;69.77;69.82;69.82;70.03;"              precision    recall  f1-score   support

          -1       0.53      0.66      0.59        95
           0       0.52      0.49      0.51        95
           1       0.79      0.62      0.69        95

    accuracy                           0.59       285
   macro avg       0.61      0.59      0.60       285
weighted avg       0.61      0.59      0.60       285
";"[[63 40 16]
 [24 47 20]
 [ 8  8 59]]";0 hour:3 min:0 sec
WordPhonemeFreq@1101@One;SVM;68.1;67.99;67.99;68.65;"              precision    recall  f1-score   support

          -1       0.51      0.63      0.57        95
           0       0.51      0.52      0.51        95
           1       0.79      0.59      0.67        95

    accuracy                           0.58       285
   macro avg       0.60      0.58      0.58       285
weighted avg       0.60      0.58      0.58       285
";"[[60 39 18]
 [27 49 21]
 [ 8  7 56]]";0 hour:5 min:1 sec
WordPhonemeFreq@1101@One;RandomForest;88.07;88.25;88.09;89.11;"              precision    recall  f1-score   support

          -1       0.45      0.91      0.60        95
           0       0.65      0.23      0.34        95
           1       0.72      0.46      0.56        95

    accuracy                           0.53       285
   macro avg       0.61      0.53      0.50       285
weighted avg       0.61      0.53      0.50       285
";"[[86 63 41]
 [ 2 22 10]
 [ 7 10 44]]";0 hour:2 min:58 sec
WordPhonemeFreq@1101@One;LogisticRegression;69.77;69.82;69.82;70.03;"              precision    recall  f1-score   support

          -1       0.53      0.66      0.59        95
           0       0.52      0.49      0.51        95
           1       0.79      0.62      0.69        95

    accuracy                           0.59       285
   macro avg       0.61      0.59      0.60       285
weighted avg       0.61      0.59      0.60       285
";"[[63 40 16]
 [24 47 20]
 [ 8  8 59]]";0 hour:2 min:50 sec
WordPhonemeFreq@1110@One;SVM;68.1;67.99;67.99;68.65;"              precision    recall  f1-score   support

          -1       0.51      0.63      0.57        95
           0       0.51      0.52      0.51        95
           1       0.79      0.59      0.67        95

    accuracy                           0.58       285
   macro avg       0.60      0.58      0.58       285
weighted avg       0.60      0.58      0.58       285
";"[[60 39 18]
 [27 49 21]
 [ 8  7 56]]";0 hour:4 min:53 sec
WordPhonemeFreq@1110@One;RandomForest;88.15;88.28;88.19;88.78;"              precision    recall  f1-score   support

          -1       0.42      0.87      0.56        95
           0       0.41      0.07      0.12        95
           1       0.74      0.54      0.62        95

    accuracy                           0.49       285
   macro avg       0.52      0.49      0.44       285
weighted avg       0.52      0.49      0.44       285
";"[[83 76 40]
 [ 6  7  4]
 [ 6 12 51]]";0 hour:2 min:57 sec
WordPhonemeFreq@1110@One;LogisticRegression;69.77;69.82;69.82;70.03;"              precision    recall  f1-score   support

          -1       0.53      0.66      0.59        95
           0       0.52      0.49      0.51        95
           1       0.79      0.62      0.69        95

    accuracy                           0.59       285
   macro avg       0.61      0.59      0.60       285
weighted avg       0.61      0.59      0.60       285
";"[[63 40 16]
 [24 47 20]
 [ 8  8 59]]";0 hour:2 min:46 sec
WordPhonemeFreq@1111@One;SVM;68.59;68.49;68.49;69.19;"              precision    recall  f1-score   support

          -1       0.52      0.64      0.57        95
           0       0.53      0.52      0.52        95
           1       0.77      0.60      0.67        95

    accuracy                           0.59       285
   macro avg       0.60      0.59      0.59       285
weighted avg       0.60      0.59      0.59       285
";"[[61 38 19]
 [25 49 19]
 [ 9  8 57]]";0 hour:5 min:25 sec
WordPhonemeFreq@1111@One;RandomForest;88.02;88.23;88.15;89.27;"              precision    recall  f1-score   support

          -1       0.44      0.93      0.59        95
           0       0.47      0.07      0.13        95
           1       0.72      0.52      0.60        95

    accuracy                           0.51       285
   macro avg       0.54      0.51      0.44       285
weighted avg       0.54      0.51      0.44       285
";"[[88 74 40]
 [ 2  7  6]
 [ 5 14 49]]";0 hour:3 min:13 sec
WordPhonemeFreq@1111@One;LogisticRegression;69.82;69.91;69.91;70.1;"              precision    recall  f1-score   support

          -1       0.54      0.67      0.60        95
           0       0.51      0.52      0.51        95
           1       0.79      0.59      0.67        95

    accuracy                           0.59       285
   macro avg       0.61      0.59      0.60       285
weighted avg       0.61      0.59      0.60       285
";"[[64 38 16]
 [24 49 23]
 [ 7  8 56]]";0 hour:2 min:53 sec
WordPhoneme@0001@One;SVM;66.77;66.76;66.76;67.08;"              precision    recall  f1-score   support

          -1       0.50      0.59      0.54        95
           0       0.48      0.48      0.48        95
           1       0.76      0.61      0.68        95

    accuracy                           0.56       285
   macro avg       0.58      0.56      0.57       285
weighted avg       0.58      0.56      0.57       285
";"[[56 44 13]
 [26 46 24]
 [13  5 58]]";0 hour:3 min:7 sec
WordPhoneme@0001@One;RandomForest;87.85;87.71;87.86;88.77;"              precision    recall  f1-score   support

          -1       0.42      0.87      0.57        95
           0       0.63      0.18      0.28        95
           1       0.84      0.55      0.66        95

    accuracy                           0.53       285
   macro avg       0.63      0.53      0.50       285
weighted avg       0.63      0.53      0.50       285
";"[[83 76 37]
 [ 4 17  6]
 [ 8  2 52]]";0 hour:3 min:16 sec
WordPhoneme@0001@One;LogisticRegression;67.39;67.49;67.49;67.54;"              precision    recall  f1-score   support

          -1       0.52      0.67      0.59        95
           0       0.52      0.48      0.50        95
           1       0.77      0.60      0.67        95

    accuracy                           0.59       285
   macro avg       0.60      0.59      0.59       285
weighted avg       0.60      0.59      0.59       285
";"[[64 41 17]
 [22 46 21]
 [ 9  8 57]]";0 hour:2 min:42 sec
WordPhoneme@0010@One;SVM;66.85;66.8;66.8;67.22;"              precision    recall  f1-score   support

          -1       0.53      0.61      0.57        95
           0       0.48      0.48      0.48        95
           1       0.72      0.61      0.66        95

    accuracy                           0.57       285
   macro avg       0.58      0.57      0.57       285
weighted avg       0.58      0.57      0.57       285
";"[[58 38 13]
 [25 46 24]
 [12 11 58]]";0 hour:2 min:57 sec
WordPhoneme@0010@One;RandomForest;87.97;88.0;87.75;88.59;"              precision    recall  f1-score   support

          -1       0.39      0.89      0.54        95
           0       0.25      0.02      0.04        95
           1       0.78      0.48      0.60        95

    accuracy                           0.47       285
   macro avg       0.47      0.47      0.39       285
weighted avg       0.47      0.47      0.39       285
";"[[85 88 45]
 [ 2  2  4]
 [ 8  5 46]]";0 hour:3 min:24 sec
WordPhoneme@0010@One;LogisticRegression;68.17;68.26;68.26;68.33;"              precision    recall  f1-score   support

          -1       0.53      0.67      0.59        95
           0       0.51      0.49      0.50        95
           1       0.78      0.59      0.67        95

    accuracy                           0.59       285
   macro avg       0.61      0.59      0.59       285
weighted avg       0.61      0.59      0.59       285
";"[[64 41 16]
 [22 47 23]
 [ 9  7 56]]";0 hour:2 min:41 sec
WordPhoneme@0011@One;SVM;66.73;66.67;66.67;67.13;"              precision    recall  f1-score   support

          -1       0.52      0.62      0.57        95
           0       0.48      0.45      0.46        95
           1       0.71      0.61      0.66        95

    accuracy                           0.56       285
   macro avg       0.57      0.56      0.56       285
weighted avg       0.57      0.56      0.56       285
";"[[59 38 16]
 [26 43 21]
 [10 14 58]]";0 hour:2 min:13 sec
WordPhoneme@0011@One;RandomForest;88.12;88.03;88.06;88.92;"              precision    recall  f1-score   support

          -1       0.40      0.86      0.54        95
           0       0.56      0.09      0.16        95
           1       0.83      0.55      0.66        95

    accuracy                           0.50       285
   macro avg       0.60      0.50      0.46       285
weighted avg       0.60      0.50      0.46       285
";"[[82 82 42]
 [ 6  9  1]
 [ 7  4 52]]";0 hour:2 min:34 sec
WordPhoneme@0011@One;LogisticRegression;68.52;68.58;68.58;68.7;"              precision    recall  f1-score   support

          -1       0.54      0.67      0.60        95
           0       0.52      0.49      0.51        95
           1       0.71      0.58      0.64        95

    accuracy                           0.58       285
   macro avg       0.59      0.58      0.58       285
weighted avg       0.59      0.58      0.58       285
";"[[64 35 19]
 [22 47 21]
 [ 9 13 55]]";0 hour:1 min:57 sec
WordPhoneme@0100@One;SVM;66.76;66.71;66.71;67.2;"              precision    recall  f1-score   support

          -1       0.56      0.65      0.60        95
           0       0.49      0.48      0.49        95
           1       0.71      0.61      0.66        95

    accuracy                           0.58       285
   macro avg       0.59      0.58      0.58       285
weighted avg       0.59      0.58      0.58       285
";"[[62 35 13]
 [23 46 24]
 [10 14 58]]";0 hour:3 min:3 sec
WordPhoneme@0100@One;RandomForest;88.14;88.06;87.98;88.7;"              precision    recall  f1-score   support

          -1       0.42      0.92      0.58        95
           0       0.71      0.11      0.18        95
           1       0.70      0.48      0.57        95

    accuracy                           0.50       285
   macro avg       0.61      0.50      0.44       285
weighted avg       0.61      0.50      0.44       285
";"[[87 72 46]
 [ 1 10  3]
 [ 7 13 46]]";0 hour:3 min:23 sec
WordPhoneme@0100@One;LogisticRegression;68.63;68.72;68.72;68.81;"              precision    recall  f1-score   support

          -1       0.57      0.68      0.62        95
           0       0.49      0.46      0.48        95
           1       0.68      0.57      0.62        95

    accuracy                           0.57       285
   macro avg       0.58      0.57      0.57       285
weighted avg       0.58      0.57      0.57       285
";"[[65 34 16]
 [21 44 25]
 [ 9 17 54]]";0 hour:2 min:25 sec
WordPhoneme@0101@One;SVM;66.73;66.67;66.67;67.13;"              precision    recall  f1-score   support

          -1       0.52      0.62      0.57        95
           0       0.48      0.45      0.46        95
           1       0.71      0.61      0.66        95

    accuracy                           0.56       285
   macro avg       0.57      0.56      0.56       285
weighted avg       0.57      0.56      0.56       285
";"[[59 38 16]
 [26 43 21]
 [10 14 58]]";0 hour:2 min:18 sec
WordPhoneme@0101@One;RandomForest;87.71;87.91;88.22;88.65;"              precision    recall  f1-score   support

          -1       0.41      0.88      0.56        95
           0       0.62      0.11      0.18        95
           1       0.74      0.52      0.61        95

    accuracy                           0.50       285
   macro avg       0.59      0.50      0.45       285
weighted avg       0.59      0.50      0.45       285
";"[[84 77 42]
 [ 2 10  4]
 [ 9  8 49]]";0 hour:2 min:21 sec
WordPhoneme@0101@One;LogisticRegression;68.52;68.58;68.58;68.7;"              precision    recall  f1-score   support

          -1       0.54      0.67      0.60        95
           0       0.52      0.49      0.51        95
           1       0.71      0.58      0.64        95

    accuracy                           0.58       285
   macro avg       0.59      0.58      0.58       285
weighted avg       0.59      0.58      0.58       285
";"[[64 35 19]
 [22 47 21]
 [ 9 13 55]]";0 hour:1 min:43 sec
WordPhoneme@0110@One;SVM;66.73;66.67;66.67;67.13;"              precision    recall  f1-score   support

          -1       0.52      0.62      0.57        95
           0       0.48      0.45      0.46        95
           1       0.71      0.61      0.66        95

    accuracy                           0.56       285
   macro avg       0.57      0.56      0.56       285
weighted avg       0.57      0.56      0.56       285
";"[[59 38 16]
 [26 43 21]
 [10 14 58]]";0 hour:2 min:18 sec
WordPhoneme@0110@One;RandomForest;88.0;87.98;88.15;88.74;"              precision    recall  f1-score   support

          -1       0.39      0.87      0.54        95
           0       0.44      0.08      0.14        95
           1       0.76      0.43      0.55        95

    accuracy                           0.46       285
   macro avg       0.53      0.46      0.41       285
weighted avg       0.53      0.46      0.41       285
";"[[83 82 48]
 [ 4  8  6]
 [ 8  5 41]]";0 hour:2 min:20 sec
WordPhoneme@0110@One;LogisticRegression;68.52;68.58;68.58;68.7;"              precision    recall  f1-score   support

          -1       0.54      0.67      0.60        95
           0       0.52      0.49      0.51        95
           1       0.71      0.58      0.64        95

    accuracy                           0.58       285
   macro avg       0.59      0.58      0.58       285
weighted avg       0.59      0.58      0.58       285
";"[[64 35 19]
 [22 47 21]
 [ 9 13 55]]";0 hour:1 min:42 sec
WordPhoneme@0111@One;SVM;66.73;66.67;66.67;67.13;"              precision    recall  f1-score   support

          -1       0.52      0.62      0.57        95
           0       0.48      0.45      0.46        95
           1       0.71      0.61      0.66        95

    accuracy                           0.56       285
   macro avg       0.57      0.56      0.56       285
weighted avg       0.57      0.56      0.56       285
";"[[59 38 16]
 [26 43 21]
 [10 14 58]]";0 hour:2 min:14 sec
WordPhoneme@0111@One;RandomForest;87.79;87.96;88.3;88.89;"              precision    recall  f1-score   support

          -1       0.43      0.92      0.58        95
           0       0.48      0.13      0.20        95
           1       0.73      0.43      0.54        95

    accuracy                           0.49       285
   macro avg       0.55      0.49      0.44       285
weighted avg       0.55      0.49      0.44       285
";"[[87 73 44]
 [ 3 12 10]
 [ 5 10 41]]";0 hour:2 min:24 sec
WordPhoneme@0111@One;LogisticRegression;68.52;68.58;68.58;68.7;"              precision    recall  f1-score   support

          -1       0.54      0.67      0.60        95
           0       0.52      0.49      0.51        95
           1       0.71      0.58      0.64        95

    accuracy                           0.58       285
   macro avg       0.59      0.58      0.58       285
weighted avg       0.59      0.58      0.58       285
";"[[64 35 19]
 [22 47 21]
 [ 9 13 55]]";0 hour:1 min:39 sec
WordPhoneme@1000@One;SVM;67.07;67.08;67.08;67.43;"              precision    recall  f1-score   support

          -1       0.50      0.62      0.56        95
           0       0.49      0.48      0.49        95
           1       0.77      0.61      0.68        95

    accuracy                           0.57       285
   macro avg       0.59      0.57      0.58       285
weighted avg       0.59      0.57      0.58       285
";"[[59 43 15]
 [25 46 22]
 [11  6 58]]";0 hour:3 min:19 sec
WordPhoneme@1000@One;RandomForest;88.1;88.1;88.25;88.59;"              precision    recall  f1-score   support

          -1       0.39      0.91      0.54        95
           0       0.65      0.12      0.20        95
           1       0.81      0.40      0.54        95

    accuracy                           0.47       285
   macro avg       0.61      0.47      0.43       285
weighted avg       0.61      0.47      0.43       285
";"[[86 82 53]
 [ 2 11  4]
 [ 7  2 38]]";0 hour:3 min:40 sec
