model_name;classifier;f1;accuracy;recall;precision;classification;confusion;sample_train;sample_test;time_processing
WordPhonemeFreq@0011@All;RandomForest;53.24;53.35;53.35;53.55;"              precision    recall  f1-score   support

          -1       0.60      0.58      0.59        31
           0       0.41      0.42      0.41        31
           1       0.58      0.58      0.58        31

    accuracy                           0.53        93
   macro avg       0.53      0.53      0.53        93
weighted avg       0.53      0.53      0.53        93
";"[[18  8  4]
 [10 13  9]
 [ 3 10 18]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:48 sec
WordPhonemeFreq@0011@One;RandomForest;53.45;53.63;53.63;53.73;"              precision    recall  f1-score   support

          -1       0.53      0.61      0.57        31
           0       0.42      0.32      0.36        31
           1       0.64      0.68      0.66        31

    accuracy                           0.54        93
   macro avg       0.53      0.54      0.53        93
weighted avg       0.53      0.54      0.53        93
";"[[19 12  5]
 [ 9 10  5]
 [ 3  9 21]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:43 sec
WordPhonemeFreq@0100@All;SVM;53.36;53.52;53.52;54.85;"              precision    recall  f1-score   support

          -1       0.56      0.65      0.60        31
           0       0.42      0.48      0.45        31
           1       0.71      0.48      0.58        31

    accuracy                           0.54        93
   macro avg       0.56      0.54      0.54        93
weighted avg       0.56      0.54      0.54        93
";"[[20 11  5]
 [10 15 11]
 [ 1  5 15]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:33 sec
WordPhonemeFreq@0100@One;SVM;55.32;55.16;55.16;56.13;"              precision    recall  f1-score   support

          -1       0.50      0.58      0.54        31
           0       0.34      0.32      0.33        31
           1       0.68      0.61      0.64        31

    accuracy                           0.51        93
   macro avg       0.51      0.51      0.50        93
weighted avg       0.51      0.51      0.50        93
";"[[18 15  3]
 [10 10  9]
 [ 3  6 19]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:36 sec
WordPhonemeFreq@0100@All;RandomForest;53.05;53.23;53.23;53.3;"              precision    recall  f1-score   support

          -1       0.53      0.52      0.52        31
           0       0.35      0.29      0.32        31
           1       0.54      0.65      0.59        31

    accuracy                           0.48        93
   macro avg       0.47      0.48      0.48        93
weighted avg       0.47      0.48      0.48        93
";"[[16  9  5]
 [11  9  6]
 [ 4 13 20]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:45 sec
WordPhonemeFreq@0100@One;RandomForest;53.41;53.72;53.72;53.65;"              precision    recall  f1-score   support

          -1       0.61      0.71      0.66        31
           0       0.43      0.32      0.37        31
           1       0.62      0.68      0.65        31

    accuracy                           0.57        93
   macro avg       0.55      0.57      0.56        93
weighted avg       0.55      0.57      0.56        93
";"[[22 11  3]
 [ 6 10  7]
 [ 3 10 21]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:42 sec
WordPhonemeFreq@0101@All;SVM;53.47;53.64;53.64;54.96;"              precision    recall  f1-score   support

          -1       0.57      0.68      0.62        31
           0       0.43      0.48      0.45        31
           1       0.71      0.48      0.58        31

    accuracy                           0.55        93
   macro avg       0.57      0.55      0.55        93
weighted avg       0.57      0.55      0.55        93
";"[[21 11  5]
 [ 9 15 11]
 [ 1  5 15]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:36 sec
WordPhonemeFreq@0101@One;SVM;55.11;55.0;55.0;55.81;"              precision    recall  f1-score   support

          -1       0.50      0.58      0.54        31
           0       0.34      0.32      0.33        31
           1       0.68      0.61      0.64        31

    accuracy                           0.51        93
   macro avg       0.51      0.51      0.50        93
weighted avg       0.51      0.51      0.50        93
";"[[18 15  3]
 [10 10  9]
 [ 3  6 19]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:30 sec
WordPhonemeFreq@0101@All;RandomForest;52.39;52.59;52.59;52.8;"              precision    recall  f1-score   support

          -1       0.53      0.52      0.52        31
           0       0.47      0.45      0.46        31
           1       0.61      0.65      0.62        31

    accuracy                           0.54        93
   macro avg       0.54      0.54      0.54        93
weighted avg       0.54      0.54      0.54        93
";"[[16  8  6]
 [11 14  5]
 [ 4  9 20]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:48 sec
WordPhonemeFreq@0101@One;RandomForest;53.17;53.52;53.52;53.42;"              precision    recall  f1-score   support

          -1       0.50      0.52      0.51        31
           0       0.38      0.35      0.37        31
           1       0.56      0.58      0.57        31

    accuracy                           0.48        93
   macro avg       0.48      0.48      0.48        93
weighted avg       0.48      0.48      0.48        93
";"[[16 10  6]
 [11 11  7]
 [ 4 10 18]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:54 sec
WordPhonemeFreq@0110@All;SVM;53.43;53.58;53.58;54.92;"              precision    recall  f1-score   support

          -1       0.56      0.65      0.60        31
           0       0.42      0.48      0.45        31
           1       0.71      0.48      0.58        31

    accuracy                           0.54        93
   macro avg       0.56      0.54      0.54        93
weighted avg       0.56      0.54      0.54        93
";"[[20 11  5]
 [10 15 11]
 [ 1  5 15]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:34 sec
WordPhonemeFreq@0110@One;SVM;55.37;55.23;55.23;56.12;"              precision    recall  f1-score   support

          -1       0.50      0.58      0.54        31
           0       0.34      0.32      0.33        31
           1       0.68      0.61      0.64        31

    accuracy                           0.51        93
   macro avg       0.51      0.51      0.50        93
weighted avg       0.51      0.51      0.50        93
";"[[18 15  3]
 [10 10  9]
 [ 3  6 19]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:30 sec
WordPhonemeFreq@0110@All;RandomForest;53.02;53.19;53.19;53.35;"              precision    recall  f1-score   support

          -1       0.52      0.55      0.53        31
           0       0.46      0.39      0.42        31
           1       0.62      0.68      0.65        31

    accuracy                           0.54        93
   macro avg       0.53      0.54      0.53        93
weighted avg       0.53      0.54      0.53        93
";"[[17 11  5]
 [ 9 12  5]
 [ 5  8 21]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:48 sec
WordPhonemeFreq@0110@One;RandomForest;52.82;53.08;53.08;53.02;"              precision    recall  f1-score   support

          -1       0.50      0.58      0.54        31
           0       0.33      0.23      0.27        31
           1       0.58      0.68      0.63        31

    accuracy                           0.49        93
   macro avg       0.47      0.49      0.48        93
weighted avg       0.47      0.49      0.48        93
";"[[18 13  5]
 [ 9  7  5]
 [ 4 11 21]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:50 sec
WordPhonemeFreq@0111@All;SVM;53.53;53.71;53.71;55.03;"              precision    recall  f1-score   support

          -1       0.57      0.68      0.62        31
           0       0.43      0.48      0.45        31
           1       0.71      0.48      0.58        31

    accuracy                           0.55        93
   macro avg       0.57      0.55      0.55        93
weighted avg       0.57      0.55      0.55        93
";"[[21 11  5]
 [ 9 15 11]
 [ 1  5 15]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:35 sec
WordPhonemeFreq@0111@One;SVM;55.06;54.96;54.96;55.75;"              precision    recall  f1-score   support

          -1       0.50      0.58      0.54        31
           0       0.34      0.32      0.33        31
           1       0.68      0.61      0.64        31

    accuracy                           0.51        93
   macro avg       0.51      0.51      0.50        93
weighted avg       0.51      0.51      0.50        93
";"[[18 15  3]
 [10 10  9]
 [ 3  6 19]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:28 sec
WordPhonemeFreq@0111@All;RandomForest;53.09;53.36;53.36;53.36;"              precision    recall  f1-score   support

          -1       0.55      0.55      0.55        31
           0       0.35      0.26      0.30        31
           1       0.54      0.68      0.60        31

    accuracy                           0.49        93
   macro avg       0.48      0.49      0.48        93
weighted avg       0.48      0.49      0.48        93
";"[[17  9  5]
 [10  8  5]
 [ 4 14 21]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:42 sec
WordPhonemeFreq@0111@One;RandomForest;53.41;53.67;53.67;53.73;"              precision    recall  f1-score   support

          -1       0.59      0.61      0.60        31
           0       0.48      0.45      0.47        31
           1       0.62      0.65      0.63        31

    accuracy                           0.57        93
   macro avg       0.57      0.57      0.57        93
weighted avg       0.57      0.57      0.57        93
";"[[19  8  5]
 [ 9 14  6]
 [ 3  9 20]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:44 sec
WordPhonemeFreq@1000@All;SVM;53.43;53.6;53.6;54.89;"              precision    recall  f1-score   support

          -1       0.56      0.65      0.60        31
           0       0.43      0.48      0.45        31
           1       0.68      0.48      0.57        31

    accuracy                           0.54        93
   macro avg       0.56      0.54      0.54        93
weighted avg       0.56      0.54      0.54        93
";"[[20 11  5]
 [ 9 15 11]
 [ 2  5 15]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:38 sec
WordPhonemeFreq@1000@One;SVM;55.48;55.37;55.37;56.2;"              precision    recall  f1-score   support

          -1       0.50      0.58      0.54        31
           0       0.36      0.32      0.34        31
           1       0.69      0.65      0.67        31

    accuracy                           0.52        93
   macro avg       0.52      0.52      0.51        93
weighted avg       0.52      0.52      0.51        93
";"[[18 15  3]
 [10 10  8]
 [ 3  6 20]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:33 sec
WordPhonemeFreq@1000@All;RandomForest;53.19;53.41;53.41;53.44;"              precision    recall  f1-score   support

          -1       0.49      0.55      0.52        31
           0       0.36      0.29      0.32        31
           1       0.58      0.61      0.59        31

    accuracy                           0.48        93
   macro avg       0.47      0.48      0.48        93
weighted avg       0.47      0.48      0.48        93
";"[[17 12  6]
 [10  9  6]
 [ 4 10 19]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:43 sec
WordPhonemeFreq@1000@One;RandomForest;53.94;54.22;54.22;54.26;"              precision    recall  f1-score   support

          -1       0.53      0.65      0.58        31
           0       0.38      0.29      0.33        31
           1       0.58      0.58      0.58        31

    accuracy                           0.51        93
   macro avg       0.49      0.51      0.50        93
weighted avg       0.49      0.51      0.50        93
";"[[20 13  5]
 [ 7  9  8]
 [ 4  9 18]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:46 sec
WordPhonemeFreq@1001@All;SVM;53.56;53.75;53.75;55.07;"              precision    recall  f1-score   support

          -1       0.55      0.68      0.61        31
           0       0.44      0.48      0.46        31
           1       0.71      0.48      0.58        31

    accuracy                           0.55        93
   macro avg       0.57      0.55      0.55        93
weighted avg       0.57      0.55      0.55        93
";"[[21 11  6]
 [ 9 15 10]
 [ 1  5 15]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:37 sec
WordPhonemeFreq@1001@One;SVM;55.0;54.9;54.9;55.65;"              precision    recall  f1-score   support

          -1       0.50      0.58      0.54        31
           0       0.34      0.32      0.33        31
           1       0.68      0.61      0.64        31

    accuracy                           0.51        93
   macro avg       0.51      0.51      0.50        93
weighted avg       0.51      0.51      0.50        93
";"[[18 15  3]
 [10 10  9]
 [ 3  6 19]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:32 sec
WordPhonemeFreq@1001@All;RandomForest;54.13;54.29;54.29;54.38;"              precision    recall  f1-score   support

          -1       0.52      0.45      0.48        31
           0       0.35      0.35      0.35        31
           1       0.54      0.61      0.58        31

    accuracy                           0.47        93
   macro avg       0.47      0.47      0.47        93
weighted avg       0.47      0.47      0.47        93
";"[[14  9  4]
 [12 11  8]
 [ 5 11 19]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:47 sec
WordPhonemeFreq@1001@One;RandomForest;53.15;53.48;53.48;53.37;"              precision    recall  f1-score   support

          -1       0.54      0.48      0.51        31
           0       0.32      0.29      0.31        31
           1       0.54      0.65      0.59        31

    accuracy                           0.47        93
   macro avg       0.47      0.47      0.47        93
weighted avg       0.47      0.47      0.47        93
";"[[15 10  3]
 [11  9  8]
 [ 5 12 20]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:45 sec
WordPhonemeFreq@1010@All;SVM;53.39;53.56;53.56;54.85;"              precision    recall  f1-score   support

          -1       0.56      0.65      0.60        31
           0       0.43      0.48      0.45        31
           1       0.68      0.48      0.57        31

    accuracy                           0.54        93
   macro avg       0.56      0.54      0.54        93
weighted avg       0.56      0.54      0.54        93
";"[[20 11  5]
 [ 9 15 11]
 [ 2  5 15]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:32 sec
WordPhonemeFreq@1010@One;SVM;55.55;55.44;55.44;56.26;"              precision    recall  f1-score   support

          -1       0.50      0.58      0.54        31
           0       0.36      0.32      0.34        31
           1       0.69      0.65      0.67        31

    accuracy                           0.52        93
   macro avg       0.52      0.52      0.51        93
weighted avg       0.52      0.52      0.51        93
";"[[18 15  3]
 [10 10  8]
 [ 3  6 20]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:30 sec
WordPhonemeFreq@1010@All;RandomForest;54.23;54.56;54.56;54.37;"              precision    recall  f1-score   support

          -1       0.60      0.68      0.64        31
           0       0.42      0.32      0.36        31
           1       0.65      0.71      0.68        31

    accuracy                           0.57        93
   macro avg       0.55      0.57      0.56        93
weighted avg       0.55      0.57      0.56        93
";"[[21 10  4]
 [ 9 10  5]
 [ 1 11 22]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:43 sec
WordPhonemeFreq@1010@One;RandomForest;53.74;54.05;54.05;54.01;"              precision    recall  f1-score   support

          -1       0.51      0.58      0.55        31
           0       0.38      0.32      0.35        31
           1       0.69      0.71      0.70        31

    accuracy                           0.54        93
   macro avg       0.53      0.54      0.53        93
weighted avg       0.53      0.54      0.53        93
";"[[18 14  3]
 [10 10  6]
 [ 3  7 22]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:45 sec
WordPhonemeFreq@1011@All;SVM;53.61;53.79;53.79;55.09;"              precision    recall  f1-score   support

          -1       0.55      0.68      0.61        31
           0       0.44      0.48      0.46        31
           1       0.71      0.48      0.58        31

    accuracy                           0.55        93
   macro avg       0.57      0.55      0.55        93
weighted avg       0.57      0.55      0.55        93
";"[[21 11  6]
 [ 9 15 10]
 [ 1  5 15]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:33 sec
WordPhonemeFreq@1011@One;SVM;55.0;54.9;54.9;55.65;"              precision    recall  f1-score   support

          -1       0.50      0.58      0.54        31
           0       0.34      0.32      0.33        31
           1       0.68      0.61      0.64        31

    accuracy                           0.51        93
   macro avg       0.51      0.51      0.50        93
weighted avg       0.51      0.51      0.50        93
";"[[18 15  3]
 [10 10  9]
 [ 3  6 19]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:32 sec
WordPhonemeFreq@1011@All;RandomForest;53.31;53.63;53.63;53.55;"              precision    recall  f1-score   support

          -1       0.60      0.58      0.59        31
           0       0.45      0.42      0.43        31
           1       0.56      0.61      0.58        31

    accuracy                           0.54        93
   macro avg       0.54      0.54      0.54        93
weighted avg       0.54      0.54      0.54        93
";"[[18  7  5]
 [ 9 13  7]
 [ 4 11 19]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:43 sec
WordPhonemeFreq@1011@One;RandomForest;53.73;54.11;54.11;54.05;"              precision    recall  f1-score   support

          -1       0.50      0.65      0.56        31
           0       0.43      0.32      0.37        31
           1       0.67      0.65      0.66        31

    accuracy                           0.54        93
   macro avg       0.53      0.54      0.53        93
weighted avg       0.53      0.54      0.53        93
";"[[20 13  7]
 [ 9 10  4]
 [ 2  8 20]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:43 sec
WordPhonemeFreq@1100@All;SVM;53.45;53.62;53.62;54.9;"              precision    recall  f1-score   support

          -1       0.53      0.61      0.57        31
           0       0.43      0.48      0.45        31
           1       0.68      0.48      0.57        31

    accuracy                           0.53        93
   macro avg       0.55      0.53      0.53        93
weighted avg       0.55      0.53      0.53        93
";"[[19 11  6]
 [10 15 10]
 [ 2  5 15]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:39 sec
WordPhonemeFreq@1100@One;SVM;55.52;55.38;55.38;56.26;"              precision    recall  f1-score   support

          -1       0.50      0.58      0.54        31
           0       0.36      0.32      0.34        31
           1       0.69      0.65      0.67        31

    accuracy                           0.52        93
   macro avg       0.52      0.52      0.51        93
weighted avg       0.52      0.52      0.51        93
";"[[18 15  3]
 [10 10  8]
 [ 3  6 20]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:30 sec
WordPhonemeFreq@1100@All;RandomForest;53.64;53.8;53.8;54.09;"              precision    recall  f1-score   support

          -1       0.48      0.52      0.50        31
           0       0.38      0.32      0.35        31
           1       0.59      0.65      0.62        31

    accuracy                           0.49        93
   macro avg       0.49      0.49      0.49        93
weighted avg       0.49      0.49      0.49        93
";"[[16 11  6]
 [11 10  5]
 [ 4 10 20]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:45 sec
WordPhonemeFreq@1100@One;RandomForest;53.17;53.41;53.41;53.44;"              precision    recall  f1-score   support

          -1       0.49      0.55      0.52        31
           0       0.41      0.35      0.38        31
           1       0.65      0.65      0.65        31

    accuracy                           0.52        93
   macro avg       0.51      0.52      0.51        93
weighted avg       0.51      0.52      0.51        93
";"[[17 12  6]
 [11 11  5]
 [ 3  8 20]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:54 sec
WordPhonemeFreq@1101@All;SVM;53.55;53.72;53.72;55.04;"              precision    recall  f1-score   support

          -1       0.54      0.65      0.59        31
           0       0.44      0.48      0.46        31
           1       0.68      0.48      0.57        31

    accuracy                           0.54        93
   macro avg       0.55      0.54      0.54        93
weighted avg       0.55      0.54      0.54        93
";"[[20 11  6]
 [ 9 15 10]
 [ 2  5 15]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:35 sec
WordPhonemeFreq@1101@One;SVM;55.08;54.98;54.98;55.73;"              precision    recall  f1-score   support

          -1       0.50      0.58      0.54        31
           0       0.34      0.32      0.33        31
           1       0.68      0.61      0.64        31

    accuracy                           0.51        93
   macro avg       0.51      0.51      0.50        93
weighted avg       0.51      0.51      0.50        93
";"[[18 15  3]
 [10 10  9]
 [ 3  6 19]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:33 sec
WordPhonemeFreq@1101@All;RandomForest;54.02;54.24;54.24;54.42;"              precision    recall  f1-score   support

          -1       0.50      0.52      0.51        31
           0       0.43      0.42      0.43        31
           1       0.61      0.61      0.61        31

    accuracy                           0.52        93
   macro avg       0.52      0.52      0.52        93
weighted avg       0.52      0.52      0.52        93
";"[[16 10  6]
 [11 13  6]
 [ 4  8 19]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:46 sec
WordPhonemeFreq@1101@One;RandomForest;53.59;53.88;53.88;53.93;"              precision    recall  f1-score   support

          -1       0.52      0.55      0.53        31
           0       0.46      0.39      0.42        31
           1       0.62      0.68      0.65        31

    accuracy                           0.54        93
   macro avg       0.53      0.54      0.53        93
weighted avg       0.53      0.54      0.53        93
";"[[17 11  5]
 [ 9 12  5]
 [ 5  8 21]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:48 sec
