token;freq
awt;127
mɪts;5
kɑl;43
mɪt;58
bɑnd;2
now;321
kɛn;82
how;275
sʌt͡ʃ;65
d͡ʒɔɹ;13
pɹɑb;43
lɛmz;24
ɛn;202
dɪŋ;130
fi;27
sajs;18
təm;44
fɔɹm;20
mow;408
kn;66
ju;339
nɪt;13
ɹajt;49
wɹ̩ks;11
lɛs;151
stɑɹt;18
kɪŋ;112
tæks;39
sæl;17
kw;129
ɪts;131
kɑm;319
ɹæk;14
dʌst;18
ɹaj;421
ɛks;185
mowst;108
nɑ;374
spɑ;18
ʌs;87
sɪl;33
lu;145
pæst;17
ɔɹ;323
d͡ʒi;206
lʊk;20
ki;231
hɪŋ;126
ɛm;50
paj;118
sawθ;18
kɔŋ;59
mɛm;62
bɹ̩z;42
hɪp;50
kɔɹd;15
ɹɪm;5
bɛt;75
win;36
ɑɹ;327
tɹʌst;9
hu;292
wɪl;267
pʊt;31
ðɛɹ;132
majndz;6
stu;32
dajɪŋ;5
mɪk;45
fɪs;14
kæl;212
ʌp;95
ænz;77
wɪt;49
ət;125
ɹowks;1
ɡu;105
lɑɹ;84
stændz;9
wow;22
mɛn;143
vow;85
tɹ̩z;55
pɹawd;7
kənt;51
ɹi;685
bu;74
wɪn;17
dʌp;5
fʌnd;4
dɹi;35
nej;43
ɡɑ;156
zɑ;51
ɡɹu;3
owld;55
sʌf;21
fɹɑ;5
tɛd;465
θow;67
mɑz;21
d͡ʒɛf;3
fɹ̩;39
sʌn;115
dɪk;29
tʌm;7
ðæt;597
mʌst;55
t͡ʃej;8
ɹɪʃ;4
ɑp;118
spi;22
ɹɪt;25
kip;16
aj;355
næt;3
æf;82
fɛɹz;6
u;115
ɹɛs;57
bli;20
d͡ʒʌd;6
d͡ʒɪs;62
nɔɹz;5
ʃæl;20
wowl;1
vɛs;92
nuz;25
wɑ;39
nɛt;11
pɹ̩t;2
wɹ̩;134
kɹ̩z;15
ɑɹt͡ʃ;10
pɹowz;11
kɑnz;20
kɑmp;38
lɛks;6
vaj;31
læb;14
hɑɹ;29
dɹ̩;149
t͡ʃoj;25
lɪŋ;82
kɛs;31
stænd;15
ɡɹ;72
væl;32
lej;17
dʌs;30
tɹaj;53
tajz;29
lɑp;31
wʊd;196
wɛl;70
mʌnθs;17
eji;18
lɛd;136
wɔɹd;53
nɔɹθ;14
wɛst;67
mɪs;83
own;48
ɡɹænt;4
ɔt;26
zɛd;43
ɡɑv;10
væn;23
ɡɹup;19
pɛkts;8
sajn;22
ɹækt;7
mɑɹt͡ʃ;14
tɛk;24
ðɛn;64
fʊl;96
blɪ;4
hid;50
wɹ̩k;36
bɹ̩;142
stæf;7
ɹæm;43
ʌn;225
bʌn;3
dænt;3
kɔɡ;20
zɪs;27
fækt;36
wʌt;116
hɛlps;6
bɔɹz;4
ɛf;79
fɔɹt;21
sʌlts;5
plɪs;5
ðæn;111
θɹu;26
æk;80
ɹʌsk;7
hɛnz;1
ts;185
fɛn;27
bɑ;106
læn;51
ɹɛp;42
dʌl;1
ɡɹɑ;51
dæn;46
ɡɹ̩;122
vɪŋ;85
awɹ̩;182
bɑmz;17
ɹʌs;58
hɹ̩z;53
sawnd;16
nʌk;41
ɹɛn;77
ʌɡ;53
stɹɛŋkθ;15
kawnt;48
naj;240
kajnd;15
wɔɹ;95
dɛ;72
stɹə;16
d͡ʒaj;19
h;2
pɔz;48
dɪp;9
tɪk;103
stæn;22
kʊd;57
sɛpt;18
ʌl;6
ɪkst;8
lɛft;31
ɛts;8
plən;4
bɹʌʃ;5
æɡ;34
ɡɹz;6
bəl;96
pu;85
ɹɛnt;28
ɹɪŋ;114
vɛn;137
wɔɹz;5
sɛk;53
d͡ʒʌŋks;1
blʌf;1
bɹɪŋk;2
mænz;13
bɪldz;2
mʌs;5
fej;163
kælb;7
ʃowz;7
æm;45
kɑɹ;53
ɹɑi;12
mʌm;3
kɹ;26
nu;199
d͡ʒɑbz;11
vɛl;14
fɛd;3
fɔɹts;15
sɛn;159
sɹ̩;171
ælθ;13
pæn;10
ɑb;59
ɡɹowθ;11
d͡ʒɛst;17
pɑɹt;75
bow;179
ɑɹd;40
nɹ̩z;37
t͡ʃɛɹ;14
mæn;184
t͡ʃɑɹ;32
ɹɪt͡ʃ;7
mown;32
ælz;26
mju;11
daj;156
bawnd;3
nɛn;4
æmz;7
dɪf;35
kʊl;17
saj;97
pɪd;5
tænt;31
vɛd;82
ʃʊd;90
kænz;21
bɹi;32
tɪʃ;18
pɹɑmpt;3
hɪm;134
zæn;2
bɑɹ;16
fawnd;18
ɹajɪŋ;10
sajnz;6
sejɪŋ;5
lɪsts;7
t͡ʃɪn;2
bæks;3
dɛn;82
dɑl;28
lɑɹz;23
ɹɛf;8
lɛk;46
kənst;9
ɹʌk;25
fɹ̩m;11
ənt;20
fow;93
kæsts;3
ɛnt;56
lɛkt;11
mit;8
mændz;6
mæl;12
tæl;89
t͡ʃejaj;32
bæd;12
bust;3
mɪl;31
vɪl;25
hɔs;25
ənts;3
hæf;26
læst;65
sɹ̩p;18
lʌs;14
ajt;12
sawndz;3
hʌŋk;1
zækt;5
haw;57
fɑɹ;47
ɪmp;41
nidz;12
duɪŋ;18
pɹæk;20
d͡ʒɪŋ;24
ɛmp;25
loj;23
wɛt;31
lɪs;29
wik;38
dænts;3
awɹ̩z;13
nɹ̩;47
dɑk;7
haj;150
ɛnts;5
fʌndz;5
spɛn;5
ʌnd;27
pɹ̩ts;2
fild;15
sæs;8
ɡɑɹ;18
tɑps;1
tɹ;22
ɪl;28
spɛndz;1
fɔɹmz;5
tɹu;35
stɪl;43
biɪŋ;47
maj;122
bɛst;24
ɡɹæn;9
hɛlp;38
ɛnd;28
d͡ʒɪl;17
ɹænt;8
pʌl;8
ɛl;41
blʌd;4
θɹz;1
tɔɹ;99
blɪk;7
hæps;21
hɑn;27
mɹ̩;7
fæk;20
dæd;5
fɹi;59
dɑm;27
ɹɪb;3
fif;1
skow;1
æθs;3
æb;50
dʌk;26
sʌs;28
lɪn;84
dɛz;1
fɛs;28
sɔɹ;19
lʌm;9
ɔɹk;25
lejd;5
dɔɹ;12
hæd;132
vɔl;8
ʃ;10
mɛs;101
mɑk;43
dɹ̩z;83
dɛnt;95
kɔɹt;13
zu;9
sɔɹt;5
d͡ʒʌs;23
plɑt;4
vɹ̩θ;2
pɔɹ;72
ɑɹmz;9
mɛɹ;74
mɑɹ;53
kɔs;5
ɹɛz;1
nɛz;1
sɛnt;115
klæs;20
lɛnt;13
tɛndz;8
pɹɛz;37
θɪŋz;21
vɛst;9
dɑɹd;3
lɛn;24
sɪzəm;7
vɑ;113
d͡ʒejlz;1
fɪl;13
flow;14
wɪŋ;32
kɹ̩;48
dɪs;92
pl;38
æmp;2
lɑb;3
kɑp;2
t͡ʃæn;41
ɪnf;15
tɪl;32
fɹɛndz;18
fejθ;8
t͡ʃɑ;5
tɑɹ;16
tænd;12
nɪs;19
ɹawus;12
bɹow;22
ɹ;7
nowz;12
nɛs;106
væt;15
ɡæn;30
dɑ;101
stɑɹ;13
mawt;1
nɪst;66
slow;23
ɡænz;3
sɪt;34
ɹæp;9
pɹɑk;1
kæst;18
aws;95
noj;7
ðʌs;13
tɹɑ;42
nɪzəm;27
pʌz;2
nown;15
lɪt;45
sʌp;54
tejn;31
kʌm;4
tɹ̩n;42
wɛs;26
twɪst;1
bɹ;26
bɹɪŋ;12
nuɪ;8
tɛst;27
sɪm;14
pæt;26
tɹæn;6
spid;8
tʌn;66
pɑɹk;21
tawn;19
d͡ʒɑn;29
ɡlɛn;2
ɛk;8
bɹʊk;2
mɑnt;2
sæmp;2
tɹænz;16
d͡ʒɛnɹ̩əl;42
plænz;10
pɹɛs;30
ŋktə;3
dɑɹ;6
stowl;1
zɛn;13
bɑk;1
fɹæŋk;14
pɔɹt;44
d͡ʒɛkts;13
sun;14
lɔŋk;2
kʌlt;15
mɪŋ;31
stɑp;17
lænd;54
bʌs;4
pɑɹ;108
sik;15
nɪsts;17
sʌk;25
bl;8
ɹɑs;9
wɹ̩ld;80
kwi;65
ðow;17
wɔl;32
ʌlb;2
ɹɪt͡ʃt;2
ɛt;110
tæŋks;3
æst;93
sɔɹb;1
zow;12
sɪɡ;24
sp;51
d͡ʒojnt;5
ɑk;26
θɹi;20
fɹɛnt͡ʃ;11
tɹups;13
pɛk;30
blɑk;6
ɛɹ;14
lɪft;2
ɹejn;31
dɛk;23
fɛkts;13
tɪŋk;2
mʌl;7
lɔz;5
pʌp;1
pɛt;49
ɡæl;13
klow;34
bɔɹ;47
mɛnts;55
fɹæn;9
mɔs;24
kaw;22
lɑt;19
tuɪ;1
tus;4
t͡ʃɛl;9
lɔɹ;25
ɹ̩;102
d͡ʒu;23
tɹʌk;9
tɔnts;1
hɑɹd;29
ajz;1
lɹ̩;20
pojn;9
tɛmp;14
fʌn;6
tʌs;5
zɪŋ;16
mejnz;9
kʊɹ;38
bej;9
ɑnd;7
vɛnt;7
fækts;10
ɡɹawnd;8
zɪsts;2
wɛn;123
stɹej;2
ʃɑts;6
ɡʌn;8
fli;3
ɪŋ;8
nɑɹ̩;6
dɛnts;25
ɡlæs;5
sim;18
fidz;1
stɛp;18
zɪɡ;1
vɪŋz;1
tɪks;22
pæt͡ʃ;3
klej;4
mɑɹk;6
stɪf;4
dɪɡ;3
ðaw;11
sændz;7
bʌf;7
stɹit;35
bɹawn;8
θɹow;8
ɹʌɡ;3
ɹɑl;25
ɡɹin;23
ɡɹæs;6
zɔn;1
væst;3
skaj;4
ɑɹθ;7
pɪk;24
lɪb;6
zɛt;8
ɛd;81
əstejt;5
nɛnt;19
hɑl;16
ʃik;1
plaj;5
sɪp;6
jz;4
pɑt;5
nɔɹt;5
sin;10
pɛst;4
mɔθ;1
mɛnz;3
wu;2
stɹ̩;5
fowldz;1
lændz;8
tɛnd;8
ʌnp;5
ənb;2
bɑɹn;1
fɹ̩st;75
lɹ̩z;5
sɔ;11
tiz;43
klɪnt͡ʃ;1
kɛt;67
wɪs;10
kaj;72
dɛlp;3
kʌs;28
ɡejnst;43
tv;12
smɔl;28
kæz;11
ɹ̩z;24
kət;23
bɑɹz;4
powlz;2
pɪn;7
vɔɹ;7
ɹɪts;3
fɪk;18
lʌn;8
sɪmp;24
sʌb;38
fɹ̩mz;3
næb;3
spɹ̩;12
ɡɹups;9
dawt;10
wɑnt;12
mɛnd;19
ɡɹawndz;7
nɑn;19
ɑlt;16
fæl;27
ɡlɑ;5
bawɹ;2
bɑn;10
sɑp;9
sɑft;12
dɹɪŋks;4
daw;8
tuθ;2
pli;12
sæd;5
pɪŋ;26
up;1
ɡʌl;4
ɹæts;13
pæl;12
powsts;3
ɹʌn;16
pojnts;10
bɹ̩t;16
wæɡ;4
nɛnts;3
mænd;10
zɛnz;13
ʃɑ;36
blɑ;4
læks;2
hɪks;6
fɪn;13
ɔk;10
kæm;16
pn;10
ɑɹt;21
vɪt;4
hænd;28
fɛk;20
t͡ʃow;9
ɹu;34
ʃown;9
ɹɛst;28
lɪŋks;1
ɪlz;2
bowθ;30
nɛst;7
ʃɔɹt;8
mɪŋz;2
mɪstɹ̩;110
powst;21
majt;39
hɛn;17
θɹ̩d;11
tɹ̩m;6
hum;9
kɔlz;13
bɑs;7
d͡ʒɛk;20
bæk;43
wɪʃ;10
vɹ̩t;11
voj;16
bɪɡ;27
kej;4
stɪks;1
ɑs;16
θɹ̩z;1
dɹɔn;5
hɪn;14
bæŋ;2
kɑk;1
tɹajɪŋ;12
ɔst;1
stɪk;2
lɪŋz;4
suɪŋ;6
blʌfs;1
sɛz;24
kɹʌʃk;47
hɛv;46
nut;16
kowld;14
pɔn;1
s;7
d͡ʒʌst;53
sɪn;50
sɛlf;74
ɔf;31
lɛt;48
kɑst;12
spɑt;2
bɑɡ;2
bɛl;21
nʌm;24
tʌf;2
viɛt;14
mɪn;18
ɹɪl;12
tɛmpt;7
bæt;11
ʃɹ;1
ʃaj;2
tiejt͡ʃ;1
wɪsp;1
ɡɑn;11
d͡ʒoj;23
wɑtk;7
bɹæd;1
plʌs;5
sɑɹ;9
t͡ʃif;6
hajnd;10
ejm;3
sej;37
swʌŋ;2
ɡaj;8
tæb;19
nɪk;11
sɪks;13
tɪst;3
fɔl;7
lɪst;14
vɹ̩z;15
tid;5
pɹuf;2
sawt;19
d͡ʒɛd;55
wejts;3
vɹ̩w;3
hɛl;15
twi;7
ɛtv;2
bɪl;20
mæt͡ʃ;2
dɪst;23
ɹɪkt;8
kwɪp;4
dɪŋz;5
læk;23
spɑn;4
sɔɹz;5
pɑɹts;5
sæm;8
bɹ̩n;11
ɹæt;27
tæt;2
flu;6
ɹɪs;16
awŋ;24
bɹ̩θ;3
kənd;28
flɑ;4
fɛɹ;25
fɹɑn;5
sænz;1
wɹ̩d;8
tʊk;10
ɹɛts;2
d͡ʒɛkt;15
ɹɛt;17
kɛpt;10
ðɛɹz;3
flæm;1
boj;11
ænt;8
ɡɹawl;2
nɑd;1
dɹɑ;11
t͡ʃɛst;2
hændz;7
ɡɹɪp;1
dɛsk;3
t͡ʃæt;4
spow;15
bɹif;9
pojnt;27
hɪs;29
plejn;6
flɔɹ;7
θɪŋ;14
kojn;2
kɔɹ;57
ɹɛk;40
ɹowl;4
æθ;33
vɪn;13
lɪd;6
fdɹ̩;2
dwajt;2
ejaj;23
kɔl;12
sæn;13
blow;5
fɔt;6
ɑbst;1
pnz;2
bɔɹn;7
plej;22
tɹæk;5
θɹ;4
tin;8
ɡɹɪs;1
jʊŋ;1
lʌst;4
ɹɹ̩z;2
tɑz;2
wɹ̩dz;20
vɪk;20
tɪmz;2
sʌɡ;27
fɪt;9
hʊd;14
wiks;8
mæs;3
pɛs;17
tɹup;2
najz;1
pɪl;2
klɛs;1
sæŋk;7
sɪk;10
nɑɹk;2
hæp;32
pɛnz;3
powld;1
mɑnst;4
ɹæb;20
pæb;2
dɪt;3
lɑn;17
sænd;6
lɛm;29
bɪt;20
tɹ̩mz;3
zɹ̩;8
tɹuθ;11
ɹuən;1
pʌs;8
fæn;4
tæs;9
ɹɔŋ;13
vju;11
tæsk;8
fɹ̩t;13
kʌt;13
wə;51
tɔk;6
tɛnt;21
lɪzəm;14
mæɡ;1
blajnd;2
bɛd;15
hɹ̩n;17
ɹejl;13
ɡɹæp;6
pej;36
əb;2
d͡ʒɑb;17
nɛl;7
ɡɑɹd;7
kæb;11
tɹajz;7
ʃəl;16
lædz;1
ɡɹʌm;1
skɑɹ;3
wʌn;33
ʃowdn;3
nænt;13
klejm;6
d͡ʒʌm;1
mun;6
ænw;1
bɪld;8
bɑm;12
tʌnz;16
tnt;2
nɑk;1
æfs;1
fɪɹ;1
ɹʌf;3
tɹɪɡ;1
kɪks;1
pɛl;8
wʊdn;4
bɪɹ;1
dɹɪŋk;1
kɹɛm;5
sɪst;10
sui;6
fulz;1
θɪŋk;27
hʌm;4
plejɪŋ;1
fib;1
d͡ʒæk;13
kɹæft;5
flajt;2
əŋk;3
mɔɹ;18
lɑm;1
ɹɹ̩;26
klɑk;1
kɹɑ;2
zaj;2
ɹut;4
pɛkt;27
bæz;11
tɛnts;1
ɹæs;4
tɪn;15
ejd;16
niʌm;1
st;21
pɹ̩z;10
fɛkt;17
ɹɛsts;7
mn;4
hɑdz;4
pæs;6
ɹɑn;23
lajt;14
kænd;2
dɑɹk;5
ɡejn;28
fɹejt;1
ɡɹejn;4
mʌnθ;12
spɛnt;12
hɑp;5
kɑsts;6
smæl;4
ʃɑk;8
dæɡ;5
hæm;21
mɑɹsk;12
d͡ʒowld;12
kɹæʃ;7
ɡlow;5
bɑl;5
d͡ʒɪk;8
hæŋz;1
ɡɹɪps;1
sɔt;2
tɔks;3
mwɑ;1
t͡ʃəm;3
blu;13
stow;22
flajɪŋ;3
ndow;1
ɹɪ;1
mæk;7
bʌl;4
lɛts;1
kɛnd;3
pɑi;3
ɹajts;10
stʊd;1
dajd;4
tɹajəmfs;1
sɑl;16
kənf;18
lɪkts;1
θɹ̩;13
ɪɡ;5
d͡ʒɪn;17
æks;3
zɹ̩t;1
ɛfs;3
klawd;1
kɹu;10
ækt;14
dɛst;26
tæsks;1
bɪk;2
fɹɛʃ;3
dejz;31
spɛl;1
t͡ʃid;6
tɹækt;3
sʌm;20
pɪŋk;2
pejn;18
ɹid;2
ji;8
vɛlz;8
wɹ̩θw;1
lɛŋt;1
ʃiɹ̩;6
ɡɹæfs;1
ɹowld;3
lejnts;1
bæl;7
fil;19
sɛs;23
spɛkt;2
ɹʌm;5
ɹejnt;1
fæst;11
mɔŋ;16
tɛsts;23
kɹɪs;14
slɪp;4
tæɡ;2
bɹænt;6
æts;7
lʌd;2
wɪɡ;2
hɑɹt;4
sɛnd;5
dɹ;19
zɑɹd;5
fæz;13
sowl;3
kæp;15
tɹɛndz;3
sʌlt;13
vɪɹz;1
slajt;4
ɡejnz;1
ɹɪɹ;1
ɹæd;1
hɛld;11
ɹɑk;13
bɪs;5
dɹɔz;1
æsk;7
fajnd;16
ɛsn;10
spɛk;4
spɹ;1
zæm;22
dɪn;9
pɹɪn;21
dæb;6
ɡowɪŋ;27
mɑsk;3
sejl;1
t͡ʃɹ̩k;5
blæn;2
wajld;2
ɡɹiz;1
dɹ̩n;9
dɪpɑɹtmənt;9
tɹub;10
lɛp;11
plz;10
vɛnθ;5
æsks;2
mɪsts;2
ajnz;1
tajn;1
tɹow;2
stɹɪŋ;1
ɔfs;3
sɹ̩nz;2
tɪp;1
lɔŋz;3
hɛk;1
fɹʌnt;7
wawnd;1
kəŋk;8
tɛlz;6
dɔɹz;4
hɔl;10
jɪŋ;4
ɑɹdz;8
sɪlz;3
zɪst;4
dʌkt;5
ɪld;11
vɑnts;1
nɑb;5
næk;6
klaj;6
sæk;11
plʌɡ;3
lup;1
lɪp;4
pejd;12
fejlz;1
ejmz;1
skɹu;3
sʌl;4
ɹɛkt;16
blɛd;5
spɹɪŋ;13
hɪps;3
lows;11
lɪkt;4
lejnt;4
kɹawdz;1
ʃu;4
kiz;1
bɔʃ;1
mæt;30
ɡɹow;20
splɪt;3
spɑɹk;1
ɹojut;1
æfəl;1
bəlɪŋ;3
stɹəs;5
d͡ʒɪm;2
hɑf;1
fjudz;1
ɑɹn;7
stɹən;3
sɪsts;8
sawɹ̩;3
tɹɪp;4
fud;9
fid;6
ɪksk;4
hɪɡ;7
pɔɹts;12
plɛd;2
mɹ̩z;8
awts;3
ɹowz;1
swɪnd;1
tɑp;12
tænts;6
fɹɪk;3
ɡɔɹ;2
ɹɪd;5
pʊts;3
dɹɔ;3
zɑɹ;1
dawus;5
nɔs;6
nɛm;11
ploj;12
jɑ;27
mɪtk;3
hæt;18
dɪdn;5
dɹɑp;10
ɡowld;9
bɹ̩ɡ;9
nɛk;16
stɹi;16
stɑɹts;2
spɹ̩t;1
tejl;9
ɡʊdz;2
stil;2
lɑs;20
simz;26
kil;1
vɛm;9
ɑdz;2
ɹaw;1
næm;7
tɹajəmf;3
nawuk;2
bɑt;6
tɑm;10
hɑd;9
ɡɹi;9
dɪl;1
fɛl;6
luk;4
θɪŋks;1
sli;3
slʌmp;2
fɛbjəwɛɹi;4
kʌp;2
wɔɹk;6
ɹʌp;9
klejmz;2
fɪts;6
d͡ʒɹ̩;5
fowk;1
towld;9
bɹ̩d;8
ɹɑnz;2
kɑd;2
nɪm;1
dɔl;1
wɔɹnz;1
blɪʃ;8
sɹ̩n;8
snow;6
kæt;12
ɛɡ;3
blæk;12
kɹow;4
dawb;6
ʃɹɪn;1
kænts;1
d͡ʒɛnt;14
ʃɹi;3
tɹejn;2
ɹuəts;1
tɹi;20
dajət;1
nɪl;3
awθs;1
ɹɛnts;12
vej;9
nojɑ;12
sɪts;3
stæɡ;1
mɪd;14
slæk;1
lɛkts;2
pɹ̩k;5
sti;5
θɹuɡ;7
dæl;10
dʌbəlju;2
ʃwə;1
kɔɹp;2
dɛf;2
ɹɪn;2
mɹ̩p;1
hajz;3
sʌbz;12
pækt;4
klɛɹ;2
sɛnts;6
lajz;3
kænt;6
ənz;5
plænts;4
plænt;6
awŋz;7
wɪp;2
tæm;6
hɛmz;1
mɑɹks;8
bɔks;1
pʌn;1
sʌnz;9
niʃ;8
dɑn;33
hænt;1
sɪb;15
stɛps;3
d͡ʒis;2
bænz;1
skɹin;5
skɹi;3
d͡ʒɛnts;5
flɛd;3
fɹɛnd;7
tɹ̩b;1
d͡ʒej;6
swɪŋ;3
ɑɹk;10
hæŋ;4
luf;1
sni;1
kɑɹd;1
ɡɹ̩l;5
ʌŋ;1
lowz;7
blɪt;1
pɑnz;9
kʌf;1
vejn;3
spit͡ʃ;6
in;6
stɹʌk;5
nɑɹd;6
sænt;6
sejɪk;2
ʃɪp;3
ɡɹænts;1
ɡɹ̩z;16
kɹɔs;12
flajts;1
fɔɹθ;10
kɹui;2
mæks;2
tej;4
pætk;1
bowlz;1
flʌd;3
ɹoj;17
bɛlz;4
flʌdz;1
ɛndz;4
ɪnst;13
stej;9
ɹɪd͡ʒ;1
dim;1
bækɡ;4
dɹɛs;4
kwɪt;2
fiz;2
ɡɹajnd;1
lɛnts;1
dɪsk;11
pæθ;3
hɪl;2
najt;26
vɑnt;7
ɹuɪ;2
ɑɡ;6
hɪk;2
ɡɪŋ;2
hɑb;1
sɹ̩z;11
biɪŋz;3
nowvɛmbɹ̩;3
dɛɡ;4
ɡɛts;6
tejnz;6
pɪɹ;2
tɹʌs;5
fʌŋk;6
tɛmz;2
θɹ̩dz;1
wɑt͡ʃ;3
dɔɡ;10
ɛnz;1
mɑnd;1
fɹ̩z;4
t͡ʃidz;3
pɑk;6
bʊk;22
kɛts;10
mɪsp;3
hɔɹn;1
θɹɑt;1
d͡ʒawɹ;8
dɑmz;1
fɛlt;6
siz;2
wɪndz;2
twən;10
ʃɑɹp;3
skɹɪpt;1
bowld;2
dɑpt;1
klu;3
maws;4
dɑp;1
t͡ʃajld;54
lejɪŋ;1
twəl;3
dɹæs;4
ʃæt;1
mɪzəm;1
æŋ;5
slʌmz;3
bɹ̩bz;1
ɹum;14
vjuz;7
stɹɔŋ;15
nɛɡ;11
sajk;7
sɛl;42
tɹɛnd;6
kʌts;1
stɹits;5
hʌnd;7
ɹɛdz;2
lejnz;2
hɪd;1
mɪʃ;2
nɪŋz;7
stɹejt;5
mejl;6
pɑnd;2
stæmps;2
dɹz;8
bʌlk;2
spik;2
bɑks;3
mæb;3
pju;4
tɹɛm;4
ʃi;74
kʊdn;2
kæf;1
ɡɹown;4
bif;3
fæt;12
sidz;1
spɹawt;1
blows;1
sɑm;2
kɪl;12
sup;1
bɹɔθ;1
hæʃ;2
wɔɹm;2
flæt;3
fildz;2
tɔl;2
ɡɹej;4
mɪsɪz;9
din;2
buz;1
t͡ʃɛks;1
ɡɪnz;6
ɡɹowz;6
θɔt;6
hɑɹdz;10
poj;3
howldz;6
ɡɹʌd;4
ɡɑd;24
fit;8
tɹajd;5
t͡ʃɹ̩t͡ʃ;27
lɪf;2
tɹz;3
hju;5
pɹej;8
tɔt;5
dɛts;1
mits;2
wɑn;15
sɪnz;4
wɑnts;11
ɔft;1
bɹət;6
sejθ;1
lʊks;6
mɑt;29
tɛl;28
ʃɹɪl;1
lɪʃ;26
ɡɹ̩lz;13
spɹɔ;1
dɹɪn;1
ɡɪɡ;1
ɡəlɪŋ;1
kɪtk;1
əl;7
tuɡ;1
hɛst;6
ɡlaj;8
ɡɹæb;2
ɑɹm;2
bɛɡ;1
nʌp;1
d͡ʒɪt;1
fɹaj;3
ɡɪ;6
fajɪŋ;1
ɑbz;3
wɹ̩θ;2
ɹuθ;2
stɹæn;5
sɹ̩t;4
ədz;1
ɛŋk;1
tunz;2
nɪks;6
snid;1
dip;7
kɹaj;3
klɹ̩;1
pɪt;2
stɑps;1
d͡ʒɛs;1
blz;7
wɹ̩t;1
vɛt;1
dɑɹdz;4
bɹui;1
bɛs;7
tow;2
sejnt;1
bʌks;1
kæʃ;1
bajɪŋ;1
stɹɛs;3
stɹ̩z;1
sejnts;1
majnd;5
pɑd;27
lun;1
fɹɪn;9
kul;7
ɡæt;3
kɑt;3
mɪdst;3
pɔɹt͡ʃ;2
klɔθ;1
hʊks;1
slʌŋ;1
ɹɪp;4
pəlɪŋ;1
sæt;1
ɹɪθ;2
nɪn;8
ɡɪb;1
dɹɪft;1
swip;2
sʌd;7
tæŋ;1
tuk;2
hɑɹʃ;1
ʃæft;1
dɹɪf;1
stɹɔ;2
wɔɹn;3
bænd;12
bɹɪm;1
tɹ̩t;7
bɛnt;1
flæs;1
spɔɹts;2
pejnz;2
wɪθd;1
fə;1
wɔɹmθ;2
ɡɹɪn;2
bɹaw;4
ʃul;2
sajt;4
smi;6
nɪɹ;2
bɪd;5
ɡɑt;12
lajɪn;1
kɪn;9
lɑts;6
wɪnd;3
kun;2
θɪn;6
fɹɛk;1
klɛd;2
lajɪŋ;5
ɹʌb;5
t͡ʃɪl;2
t͡ʃɹ;1
kɹɪk;1
pæm;1
bɹ̩st;1
ɹawnd;2
skɑ;5
tʌk;1
ɹumz;3
howld;7
næʃ;4
haws;3
kwɪk;6
hæl;5
stɛɹ;2
tjɛn;1
sɛɡ;1
ɹænts;3
lʌnt͡ʃ;1
bɪŋz;1
