token;freq
bus;463
weas;129
apaguen;19
luces;204
pena;44652
muerte;2692
tos;239
mierrrrr;2
déjate;113
huevos;918
insta;414
mandan;529
banda;1694
pibes;567
nose;1488
dnde;9
numero;214
cualquiera;1141
mantengan;17
primera;2333
tercera;299
largo;1383
escrito;258
👩🏽‍⚖️;2
alguna;2162
va;16475
merengue;23
respuesta;835
weá;70
horrible;8105
conversan;3
rato;2012
sala;250
andan;549
mirando;902
franco;317
cambio;1528
300;6
vaga;80
amiga;8293
nuevas;433
mejores;2490
amigas;3962
ósea;201
muero;1755
bai;358
tele;658
cuanto;1500
tarda;196
cabrón;262
darle;1254
❤;26453
publicación;116
ayer;4567
instagram;912
buenote;2
luego;3228
presté;21
llamada;387
amp;1324
@;1097
¥;26
dejó;755
caer;994
agarren;132
tipo;3413
tocando;160
taylor;74
revuelve;22
estómago;231
infaltable;20
escucha;566
música;2503
auriculares;360
impulsivo;12
ansioso;404
presentimientos;4
terminan;353
siendo;2133
🤐;224
carolinaaaaaa;1
muchas;4021
quejas;121
prioridad;104
bicicletas;11
lima;95
malditos;657
van;6047
series;493
reacciones;68
👍;2280
😁;2544
birrajeizeca;1
vdd;267
estudiar;1409
resumen;146
dd;87
desespero;102
mucha;6906
ansiedad;2262
estres;77
millon;53
haces;2941
di;1375
creerlo;157
quero;129
matar;1483
ela;65
falta;4333
respeto;1623
lugar;2550
estacionamiento;85
quedes;117
horas;3715
joder;1778
alma;2604
ponga;760
jusq;8
katagaaaaal;1
salude;135
calle;2216
poronga;258
abrazó;78
acaso;468
ven;1646
necesito;5366
abrazo;3951
😓;1708
tendinitis;10
inglal;1
pasan;1324
cortan;159
semana;4460
rutina;437
aquí;4308
🔺;9
354;3
🔻;3
⁉;5
norbac;1
anorbac;1
senorbac;1
encabronan;4
❗;135
los;98
cabrufalos;1
cama;1999
traiga;102
cocinar;289
miro;663
ventana;383
pelota;349
plaza;469
ajajajaj;66
despreciar;21
torneos;64
cambié;72
nmms;58
🤧;267
coraje;3282
buffalo;5
chingarme;11
platote;1
boneless;17
vaso;202
cerveza;456
poquito;1054
quemas;36
transbordandoooo;1
concuerdo;30
beti;13
obsesionada;30
injusta;112
esta;126
👌;2927
👏;4889
vueltas;472
pibas;181
haciendo;3577
pedido;220
roticeria;2
salís;69
linda;2864
verda;58
considero;337
millos;82
pelea;8775
hinchas;221
equipo;2696
verguenza;425
meten;318
cagadas;150
enojo;3327
contestan;229
quedará;133
listo;702
hrs;188
llevan;482
piro;20
riber;44
jajajajaa;102
explicame;53
juegan;284
partidos;718
pasó;1950
recogieron;2
poníamos;6
trancar;38
rendir;256
busco;384
excusa;330
rosario;240
matilda;9
pedro;293
ángela;20
arranquen;12
difícil;1230
aprender;532
violín;51
mierdaaa;113
temita;82
calefactores;1
viento;702
seguro;2916
beso;1417
tyren;3
empesando;1
creerle;32
tia;355
dinah;20
😏;1851
mataste;54
polola;20
gil;583
broma;740
bueno;8140
espero;5525
cargando;142
onda;1854
bio;106
table;9
gang;4
estornudo;33
maldita;1516
congestión;21
hierve;45
sangre;886
divertite;12
💕;8159
fantasma;169
cancha;509
canta;391
pesimo;61
servicio;1546
chatean;2
visten;18
maleantes;7
carros;95
sucios;76
malos;565
olores;21
nudo;238
garganta;725
pario;322
mendiga;26
amparo;42
últimamente;675
🖕🏽;88
desepcion;12
piche;21
arrebatado;3
dispuesta;118
😘;10871
gentuza;135
quiten;172
profesionales;90
porfavor;589
país;4561
aliancistas;3
ahorita;658
ando;1927
hablan;1095
neymar;693
exploto;155
hipocrita;49
farsante;22
acordas;125
quom;1
años;9734
reciban;37
defendeme;1
mapuche;19
jones;47
cine;797
rn;37
variar;86
retrasado;83
sorprende;281
fila;333
😵;714
cuánta;152
violencia;7905
cansada;10601
demas;458
pirobos;13
relaciones;187
👎;2582
youtube;702
fumarse;9
anuncios;204
politicos;159
córdoba;206
rio;398
tercero;80
explotó;64
vicentin;1
unico;789
explicarnos;6
quejarse;1567
4hs;13
fácil;1377
ong;23
miserable;289
suma;152
cocos;12
sra;304
pili;31
defendía;7
😈;1533
revienta;153
escriban;78
hola;3530
k;1869
ases;11
kuidate;1
kabayo;1
primario;10
completo;412
devuelta;115
🔫;1121
sobreseido;1
quer;13
irritar;122
demora;138
guiño;40
ojo;1190
mordes;5
labio;153
😆;1377
levanto;738
ceja;96
tiras;102
😐;2005
truco;128
pelotuda;1129
teléfono;832
podrida;442
pendiente;352
gracias;17899
ma;568
revisar;122
bolcillos;1
lavarme;18
auris;13
ehh;128
deben;777
publicarse;6
😝;1063
que;412
manera;2339
ridículo;531
yomecomprendo;1
caga;1688
necesitas;436
ellos;128
🙂;967
verga;1865
lluvia;1497
agrada;103
ejercicio;287
👎🏻;204
soldado;149
eliminen;11
tiro;814
impresentable;129
inmoral;34
actualizaciones;31
🔪;399
tampoco;1832
significa;793
puedes;1950
empujar;34
fácilmente;99
obvio;978
notar;122
comparen;35
vengo;883
felíz;125
práctica;110
nuevo;4215
estúpido;402
zancudo;33
picó;26
nalga;30
hijuesumadre;2
pura;898
chilindrina;14
sobándosela;1
volvió;551
menemovil;2
caravana;44
rioja;24
pobre;2764
piel;554
delicada;39
sordo;62
colgada;147
minuto;592
silencio;897
cargador;424
cell;28
dañar;98
cuelgen;3
quedar;1223
uniforme;242
colegio;1442
parezco;286
pibe;1189
detenga;31
pegue;303
llevar;998
mundo;8161
patas;153
viceversa;52
porqué;825
corazones;233
gato;1029
rompió;417
pican;41
mosquitos;289
todas;6550
vacaciones;2238
última;936
noche;7260
golpe;437
miércoles;394
hey;1226
perfil;472
ws;38
maje;61
webies;1
inseguridat;1
quita;795
eterno;302
aceitunas;18
ascooooooo;5
cuarto;886
ovarios;200
inflados;14
aguanto;1011
alto;1065
mancera;36
destruir;135
bonita;1099
méxico;1286
poca;888
gripe;306
eee;77
viernes;2466
salgo;1149
agustín;134
grité;38
cree;1306
mandenlo;3
o;40
dejaran;65
ejemplo;864
intercambio;35
cultural;75
snap;535
bariloche;222
comprarme;248
pasaje;114
barrio;560
empezaron;231
gritar;639
culata;13
netbook;7
faaaa;17
emoji;233
🤪;26
😗;308
😊;5557
😇;806
☺;1572
😎;2148
🧐;34
😜;1042
😖;1656
😲;990
🤮;50
🤒;139
🤢;622
😫;2154
😳;1608
eu;318
amo;14961
emojis;134
priscila;31
cornuda;86
encantaría;282
digas;796
hable;709
queridos;443
cc;412
uhh;59
dejar;3395
rendí;18
recién;1200
chaboooon;6
larga;694
profesora;220
cumpleaños;6659
pelotudo;1123
tio;623
remeras;33
tmb;385
gorras;18
rompe;718
pelotas;648
repitan;33
ta;752
bue;899
noo;311
café;929
algún;2331
audios;521
reír;2134
🔥;1572
🦅;13
⭐;191
esperamos;428
11mx;3
🕚;5
desconfianz;1
modo;692
on;304
paranoia;28
💆🏻;138
putea;30
vago;195
matemática;167
emprendimiento;15
aburro;239
puestos;125
micheladas;5
nojo;51
chequea;3
mg;533
jajaj;1163
habre;30
leido;66
horoscopo;13
ofendida;964
desordenado;18
arreglarlo;42
clase;1644
se;282
vió;52
claramente;293
goza;49
sombra;242
vacilante;1
rasgada;3
mamerto;31
adri;62
vi;3610
visagras;1
dije;3367
nahuel;105
digo;4309
cocine;43
ay;4494
enoje;207
bebé;1670
estúpida;527
teresa;50
aunq;152
muera;435
cagante;20
vato;147
queso;270
gusta;5649
saquen;367
ocupen;15
pedirme;97
permiso;353
kily;2
pego;512
pierna;299
dejo;1781
tremendo;4130
moreton;21
saca;1346
crean;236
tráfico;374
cristian;79
cambiar;1256
separo;18
😻;1051
luis;984
debería;1918
top;302
🙅;541
orto;2359
lux;23
pelotazos;13
camino;1531
emprendido;1
metro;490
asfalto;44
preso;274
esteban;121
bullrich;51
desgraciado;189
ash;109
parce;404
definitivamente;660
oye;1164
reuniones;65
cursos;63
hijas;180
dividir;46
escuché;283
plata;1577
alexis;158
vení;91
fumala;2
imbécil;397
pues;5539
contaste;38
importante;1574
dio;3685
pregunto;790
darán;95
falla;288
general;553
detesto;643
suegra;155
✔;149
preparar;127
jugo;191
cuarentona;3
tiran;274
moto;556
maricaaaaaa;3
polvos;16
costo;131
usted;2026
boba;220
pendeja;891
picos;17
hermanito;305
pendejita;16
wachaaaaa;5
mérida;71
conseguir;450
entrada;1429
residente;32
casaaaa;20
respondan;134
tarde;4549
cállate;291
falte;168
enchucha;3
segunda;929
control;431
tomo;647
armar;202
preguntas;513
comente;31
crítico;43
profesional;285
deportistas;117
aficionados;104
ponerle;295
nombre;1813
cuea;19
levantan;112
pinches;724
viejos;641
wtfff;10
profe;486
visto;3313
dias;2346
mama;1816
meses;1836
esfuerzo;815
valido;307
película;2215
flasho;21
salvó;60
presidente;1568
hacete;93
queres;753
tirrar;2
2seg;5
personal;526
caren;3
roncando;29
pieza;487
matete;1
volviendo;320
entendes;96
gorreado;5
puto;2826
ayy;255
charro;7
monta;39
perros;856
dieta;300
funcionando;58
defienda;50
perdiendo;521
felpa;3
berrinche;574
luciana;66
contestas;145
para;67
miardaaa;1
candela;95
aaaaaaaaaa;25
jajajaja;6683
pocas;616
logran;74
fastidiarme;5
encargas;5
comida;1511
aproximadamente;44
seguis;218
🤦🏼‍♀️;498
cortando;69
clavo;161
chamullero;4
aaaaaaaa;49
argentina;1238
viviendo;417
indefensión;2
derecho;984
justicia;1164
reaparecerá;1
futbol;538
ganará;55
martin;216
fierro;152
despues;1539
gonzalo;133
compra;387
papas;370
mehmet;14
ojos;2578
dejala;39
conviene;157
odiosa;113
seher;6
via;174
dejado;572
drogas;239
vocon;1
cargado;78
aaa;191
chingados;144
temporada;1305
copa;519
durar;147
número;628
llegó;826
difusión;49
hptas;89
mostrarse;29
comiendo;751
c;2252
pussy;16
injusticia;216
positivos;53
👫;345
💙;4101
rendirse;34
suficiente;613
😮;321
mirar;1074
policía;362
algo;115
claven;91
chat;243
👿;316
sentirte;199
basura;950
desechar;6
policias;44
quedaban;47
malabares;9
pegaba;37
pija;710
calme;72
tal;2566
dijo;5235
sientas;256
feli;38
acepto;145
derrota;222
esperar;2465
infeliz;2385
gritan;108
agresividad;38
carla;113
adivinen;349
comprar;1502
controles;22
play;217
chabon;803
date;113
sera;1133
estan;2420
arboles;22
haran;29
mesas;74
demorando;15
ño;181
contentas;10
pqlq;27
recordando;159
macanadas;2
cerebro;502
pio;131
repzionas;1
cuido;64
perro;2596
jajajajaj;780
desesperante;87
voz;1953
canal;760
tweets;861
grupo;1999
publicidades;58
paz;2465
facultad;432
entregando;26
folletos;16
cansaaaaan;1
empezar;1387
torneo;433
canso;254
preocuparme;71
preocupa;238
aprendo;144
autocagaria;7
tp;90
geo;15
ahí;4423
estudie;101
pruebas;336
posta;990
entender;888
llegar;2740
00am;61
umf;2
alcances;8
ficha;113
vallan;91
atendiendo;39
💪🏻;258
arrastrar;20
roca;56
piba;524
contabilidad;36
odddioooo;1
admite;32
provocarme;4
vistoooo;2
cumplí;44
confieso;73
ib;8
espaldas;99
imposible;1382
jugador;891
atrincamos;1
haber;3709
ande;234
snaps;156
imagen;661
culiao;186
queriendo;364
cuñado;96
vea;1473
cuál;790
manía;74
grupos;455
whatsapp;635
abogacía;11
llena;1053
machistas;71
bosta;231
facu;302
juntemos;32
avisa;169
tonta;509
queme;135
churros;40
quemados;19
lengua;387
paladar;25
importancia;278
marejadas;3
reportar;55
faltaaa;5
física;392
descarga;75
megas;123
contrata;22
papu;58
wa;286
tenia;1508
apagar;166
negocio;315
vecino;592
ingles;219
madariagaaaa;1
llevi;1
varios;539
intentos;52
parece;5544
cansado;7997
ejercitar;8
cuerpo;1694
jodidamente;117
estresado;64
comprobado;64
liga;574
termina;818
escasamente;5
leer;1905
estudien;7
vagos;134
raro;977
tamara;36
dándole;117
muela;217
miiierrrdaaaaa;1
haceeee;2
rancho;107
aparte;683
algoooooo;4
aicha;1
✂;22
🗑;9
🍖;15
🗣;116
🕷;21
🍤;11
⚓;32
🌈;325
🌍;75
📯;4
🎤;615
🌊;71
🌎;150
🖇;1
⏳;34
🥀;38
🌙;107
🙅🏻;61
🌺;211
🔗;14
🌧;82
👨🏼‍🏫;1
🐍;98
💗;2376
💅🏻;35
rajado;23
súper;3484
molesto;358
retira;56
contenido;203
lanzarán;2
propio;524
streaming;48
pinche;2227
avara;3
bañarte;25
agua;1859
caliente;347
mae;338
supere;65
pfff;122
hbo;139
go;274
pagar;974
plataformas;16
distintas;106
productora;15
escupa;10
sambuchito;1
vendi;5
pasos;197
además;1244
pj;98
mejorcitos;1
cero;633
cómodo;83
encontrarte;151
directora;42
literal;953
ccssmm;1
castrarlos;4
ninguna;1346
opción;451
salida;680
alternativa;54
atenuante;2
joda;1491
sirvo;185
jodas;315
corta;641
quieran;529
sacar;1513
buscar;1233
becas;11
gay;411
buue;1
reís;40
vsss;1
dejaaaa;13
aplicación;167
sirve;899
temprano;2072
miiiii;17
ternura;282
borracho;236
bardeo;24
mataba;38
preguntaste;13
julio;2170
respondimos;3
venganza;3515
haberte;219
invitado;97
🌪;16
paseando;38
armados;40
seguridad;489
carajo;1152
dubai;16
cagas;191
molestarme;92
careta;289
vecinos;697
wachin;81
rt;3028
imagino;777
empujado;8
brígidamente;1
care;45
palo;481
caritoo;1
💖;4647
vacilo;11
😛;432
diaa;480
taaan;121
cambiame;5
fecha;553
cordoba;51
nojoda;120
tienda;221
protegerla;6
basta;2034
cambiaro;1
cambie;328
amargo;2392
explote;70
exijan;12
mariada;2
nauseas;29
ladrido;9
tímpanos;6
bucky;7
envió;90
saco;725
novelaaaaa;3
edesur;16
racista;81
cortó;118
fragmentación;3
subo;237
asientos;60
sienta;475
olor;545
chivo;42
lado;4654
emputa;280
cojan;72
maricadas;49
terminar;1604
antebrazo;12
mati;148
tirar;607
yyyyyyyyyyy;2
olvidar;738
mariano;169
colgando;32
aaaa;228
reclamen;12
when;163
waze;17
ruta;294
estimado;168
base;265
maltrato;247
animal;572
maltraten;16
perritos;231
adentro;468
seungri;4
único;2942
supieras;76
gira;298
diciembre;166
noviembre;145
papis;29
😧;1237
cantando;624
muchachos;292
personalidades;17
contiene;23
quicio;65
buscando;860
sorete;214
escondido;65
dentro;1431
pantalón;187
🐕;139
corten;82
parte;4227
pelicula;447
palabra;1100
escuche;436
entera;378
poneme;30
changa;14
resfrío;115
nae;19
comprando;133
anillos;53
feos;153
ve;3129
piiiiiija;1
mac;90
sensible;626
bajón;427
odiooooooo;24
aunque;5017
oculte;10
malas;1242
pongan;577
checar;22
podrá;240
tarjeta;362
crédito;158
artaron;14
manga;571
hipócritas;133
barça;468
fichaaaaaa;1
chupes;8
desisto;11
papi;277
escribe;439
desastre;528
coreo;45
contempo;2
cuelguen;27
baaaaanco;1
mundooo;16
enterada;30
jijiji;54
volvemos;156
normalidad;81
😶;594
anillo;122
💍;46
serrrrr;6
paciente;155
llamadas;229
call;76
centres;1
llamen;162
ofrecer;62
servicios;172
financieros;5
dp;19
pm;412
empuja;42
particular;95
contesta;668
cobrando;61
viaje;1596
pago;405
transmision;13
wacho;453
beba;183
hackeen;3
plazca;7
apareció;196
zapdos;10
capi;86
jujeña;3
salio;420
pichu;15
metiche;45
máquina;139
✅;151
pulserita;12
llover;481
pendejo;1199
pajero;320
cabezas;81
plancharme;16
rizo;4
jajajajaja;3492
pelear;528
maría;375
belén;136
atacarme;10
reprobar;8
inglés;417
hablo;1420
diez;357
robando;169
sabe;3542
golpear;139
comerte;55
munchiesssssss;1
granos;106
preguntan;343
votar;1803
cuantos;720
imbeciles;49
manipulan;15
placer;573
😰;1185
hagan;1629
reloj;199
rosado;178
amigos;15783
mili;145
suspendieron;38
lcdsm;126
inadaptados;21
matando;372
hdps;21
temas;536
corrupción;547
ente;43
rector;34
dicho;1581
respeten;104
maya;48
envenené;1
gabriel;136
rie;180
sufrimiento;295
saludar;411
seran;56
muuuuuuy;23
chotos;20
😟;1564
preciso;99
ganar;3661
loteria;13
millonario;61
lencería;6
quites;21
socado;1
engrosaaaaaas;1
pudre;89
ya;306
duro;764
decir;6625
pueblo;2852
sólo;4626
aifonsssssss;1
ami;677
decis;368
eeeee;40
dará;259
cachetona;21
proxima;112
azucar;47
tambien;2024
blockazo;5
🍫;71
voley;59
madres;385
andas;384
despacio;75
cierren;79
puertas;216
ps;192
eliminaron;19
seción;1
orgánica;11
secciones;5
